Tijd (s);Snelheid 1 (m/s);Snelheid 2 (m/s);Versnelling 1 (m/s2);Versnelling 2 (m/s2)
0.8658;0.332356356356;-0.00114447781114;0.0750383349649;0.0150840418886
0.8991;0.332356356356;-0.00183116449783;-0.0194755983878;0.0324593306464
0.9324;0.32960960961;0.000686686686687;-0.0568992972508;0.0502164938824
0.9657;0.326862862863;0.00412012012012;-0.0418152553621;0.0057281171729
0.999;0.326405071738;0.000915582248916;-0.0124109205413;-0.0353233892329
1.0323;0.32754954955;-0.00114447781114;-0.0185209121924;-0.00420061926012
1.0656;0.325489489489;0.0016022689356;-0.0324593306464;0.00821030128115
1.0989;0.323658324992;0.000457791124458;-0.00840123852024;-0.00114562343458
1.1322;0.325260593927;0.000457791124458;0.00286405858645;0.015847790845
1.1655;0.326405071738;0.000915582248916;-0.0538443014252;0.0580449206853
1.1988;0.321827160494;0.00366232899566;-0.124872954369;0.148167297539
1.2321;0.317249249249;0.00755355355355;-0.193419423205;0.368699808695
1.2654;0.311069069069;0.0210583917251;-0.341013909026;0.833441048656
1.2987;0.298937604271;0.0565372038705;-0.626846955954;1.50095763654
1.332;0.272614614615;0.119025692359;-1.00108394458;2.18164889392
1.3653;0.23004004004;0.213101768435;-1.28271637225;2.47110974839
1.3986;0.178080747414;0.304659993327;-1.26992357723;2.10279181417
1.4319;0.136192859526;0.363028361695;-0.958695877504;1.38887747719
1.4652;0.112387721054;0.393242575909;-0.565556102204;0.745228044194
1.4985;0.101858525192;0.405374040707;-0.26425713891;0.330512360876
1.5318;0.0991117784451;0.409951951952;-0.106733916655;0.115898904132
1.5651;0.097967300634;0.409494160827;-0.0643458495755;0.0378055733411
1.5984;0.0954494494494;0.411096429763;-0.057472108968;0.0213849707788
1.6317;0.0940760760761;0.411325325325;-0.055371799338;0.00477343097741
1.665;0.0915582248916;0.410409743076;-0.0488799332087;0.0106924853894
1.6983;0.0906426426426;0.413156489823;-0.037614636102;-0.0122199833022
1.7316;0.0897270603937;0.410867534201;-0.0425790043185;-0.0639639750973
1.7649;0.0874381047714;0.406518518519;-0.0381874478193;-0.053462426947
1.7982;0.0867514180848;0.406747414081;-0.0250127783216;-0.0250127783216
1.8315;0.0862936269603;0.405374040707;-0.0250127783216;-0.00954686195483
1.8648;0.0856069402736;0.406747414081;-0.0383783850584;-0.0148931046495
1.8981;0.0833179846513;0.405831831832;-0.0437246277531;-0.0574721089681
1.9314;0.0824024024024;0.401482816149;-0.0427699415576;-0.0601452303154
1.9647;0.0812579245913;0.400338338338;-0.0589996068808;-0.023676217648
1.998;0.0782822822823;0.400338338338;-0.0658733474883;0.00381874478193
2.0313;0.0755355355355;0.401940607274;-0.0372327616238;-0.00534624269471
2.0646;0.0753066399733;0.400338338338;0.00267312134734;-0.0311227699727
2.0979;0.0771378044711;0.399422756089;0.00286405858645;-0.0477343097741
2.1312;0.0769089089089;0.397820487154;-0.0358962009501;-0.0763748956386
2.1645;0.0741621621622;0.393242575909;-0.0589996068808;-0.0723652136176
2.1978;0.0714154154154;0.391869202536;-0.0397149457321;-0.037614636102
2.2311;0.070957624291;0.391411411411;-0.00190937239096;-0.0189027866706
2.2644;0.0725598932266;0.391182515849;0.00381874478193;-0.0156568536059
2.2977;0.0714154154154;0.390724724725;0.000954686195478;-0.0253946527998
2.331;0.0725598932266;0.388893560227;0.000381874478185;-0.0221105322874
2.3643;0.0711865198532;0.389580246914;0.00696920922702;-0.0228933749677
2.3976;0.0718732065399;0.387520186854;0.0407651005471;-0.0217095640853
2.4309;0.0755355355355;0.386192592593;0.0321347373399;0.0282396176624
2.4642;0.0747344010677;0.389694694695;0.00658733474881;0.0710668403917
2.4975;0.0746199532866;0.392784784785;-0.00171843515188;0.0881748170147
