Uitrekking (mm);Kracht (N)
3.87803;31560.2
3.88414;31568.9
3.8887;31577.9
3.89439;31588.3
3.89914;31598.9
3.90476;31608.1
3.90971;31617.1
3.9153;31625.1
3.92039;31636.5
3.9263;31647.1
3.93128;31656.7
3.93629;31666.1
3.94073;31676.5
3.94543;31687.7
3.95074;31697.1
3.95495;31705.3
3.95984;31713.7
3.96469;31724.4
3.97028;31734.2
3.97508;31743.1
3.97996;31751.5
3.98488;31761.8
3.98971;31772.7
3.9939;31783.4
3.99869;31792.3
4.0023;31800.4
4.00618;31809.4
4.00995;31819.7
4.01455;31830.4
4.01899;31838.7
4.02238;31847.4
4.02704;31857.4
4.03113;31869.2
4.03694;31879.1
4.04123;31887.7
4.04559;31895.9
4.04958;31905.6
4.05321;31916.5
4.05885;31925.6
4.06263;31932.8
4.0669;31941
4.07177;31951
4.07645;31962.2
4.08146;31971.6
4.08611;31979.4
4.09038;31987.4
4.09462;31997.7
4.09839;32008.5
4.10199;32016.9
4.10673;32024.8
4.11115;32033.9
4.11578;32045.3
4.12078;32054.8
4.12529;32062.7
4.12834;32070.7
4.13189;32080.8
4.13506;32091.9
4.13906;32101
4.1432;32108.7
4.14755;32116.4
4.15118;32125.9
4.15563;32135.8
4.1612;32144.1
4.16618;32151.2
4.17173;32159.2
4.17654;32168.5
4.18167;32178.1
4.18665;32187.2
4.19222;32196.4
4.1965;32204.8
4.20144;32213.5
4.20579;32222
4.21034;32231.7
4.21443;32241.7
4.21866;32250.2
4.22398;32259.2
4.22898;32268.2
4.23388;32278.4
4.2379;32288.2
4.24236;32297.2
4.24798;32305.5
4.25344;32312.3
4.25738;32319.6
4.26186;32327.4
4.2646;32336.8
4.26846;32347.1
4.27353;32356.1
4.27836;32364
4.28343;32373
4.28694;32382.1
4.29158;32390.9
4.29606;32399
4.29958;32406.5
4.30564;32414.6
4.31063;32424.5
4.31565;32434.6
4.32026;32442.2
4.32581;32449.4
4.33024;32457.6
4.33509;32468
4.34026;32478.8
4.34485;32487.7
4.34978;32494.2
4.35465;32501.1
4.35848;32509.7
4.36404;32518.4
4.37;32526.1
4.3738;32533.2
4.37951;32541.2
4.38523;32551.3
4.39085;32560.9
4.39595;32569
4.40088;32575.7
4.40642;32583.8
4.41132;32592.8
4.41585;32602.1
4.42079;32609.8
4.426;32617.2
4.4312;32625.1
4.43711;32633.9
4.44351;32642.8
4.44809;32649.9
4.45283;32657.5
4.45775;32666
4.46375;32674.6
4.46863;32682.6
4.474;32689.9
4.47925;32697.7
4.48479;32707
4.49105;32716.2
4.49649;32723.8
4.50235;32730.5
4.50745;32738.7
4.5132;32747.9
4.5185;32755.7
4.52398;32762.6
4.52906;32769.7
4.53419;32777.9
4.53986;32786.5
4.54484;32794.3
4.55107;32801.9
4.55575;32809.4
4.56136;32818.5
4.56718;32827.8
4.57303;32835.5
4.57813;32841.9
4.58371;32848.9
4.58973;32858.1
4.59481;32866.6
4.60151;32873.3
4.6066;32880.3
4.61201;32889.5
4.61804;32900.7
4.62326;32908.8
4.6289;32914.4
4.63491;32920
4.64106;32927.2
4.64615;32936
4.65185;32944.1
4.65744;32951.2
4.66349;32957.1
4.66898;32964.9
4.67501;32974.4
4.6811;32983.5
4.68736;32989.9
4.69273;32996.4
4.69895;33005.4
4.70394;33015.2
4.71046;33023
4.7161;33028.4
4.72244;33032.9
4.72804;33041.2
4.73424;33051
4.74048;33059.9
4.74575;33067.8
4.75215;33075.5
4.75781;33084
4.7638;33091.3
4.76979;33097.4
4.77651;33102.1
4.78258;33108.1
4.78885;33117.7
4.79515;33127.3
4.80123;33132.9
4.80849;33137.9
4.81458;33146
4.82064;33157
4.82654;33165.5
4.83295;33172.3
4.83898;33178.5
4.8449;33187.3
4.85092;33195.5
4.85693;33202.8
4.86321;33208.4
4.86985;33214.8
4.87644;33224.3
4.883;33232.7
4.88963;33239.1
4.8969;33244.5
4.90393;33252.9
4.91051;33262.7
4.91726;33269.6
4.92459;33274.9
4.93143;33280.3
4.93826;33288
4.946;33297.7
4.95349;33305.8
4.96079;33312.1
4.96829;33318.4
4.97385;33326.8
4.98063;33335.1
4.98651;33342.3
4.9923;33348
4.99848;33354.3
5.00449;33362.9
5.01131;33371
5.01728;33377.6
5.02296;33383.1
5.02886;33389.8
5.0353;33398.6
5.04203;33406.7
5.04711;33413.4
5.05311;33420.6
5.05894;33427.8
5.06477;33435.8
5.0698;33442.8
5.07598;33448.3
5.08053;33453.2
5.08538;33459.2
5.0902;33467.8
5.09611;33475.8
5.10175;33482.7
5.10758;33489.3
5.11161;33497.3
5.11738;33505.6
5.12369;33512.7
5.12696;33518.1
5.13153;33523.7
5.1356;33532.1
5.14033;33540
5.1448;33545.7
5.14874;33550.1
5.15394;33556.3
5.1576;33565.8
5.163;33574.6
5.16736;33580.8
5.17274;33585.4
5.1786;33591.6
5.18399;33599.8
5.18977;33605.6
5.19563;33610.5
5.20023;33616.1
5.20614;33624.8
5.21004;33634.2
5.21443;33641.2
5.21911;33645.7
5.22417;33651.2
5.22931;33659
5.23394;33667.3
5.23939;33673.1
5.24396;33678.3
5.24816;33683.9
5.25216;33692.5
5.25664;33701.2
5.26009;33706.6
5.26519;33711
5.2698;33718.8
5.27456;33728.7
5.27773;33736.1
5.28156;33740.8
5.285;33745.7
5.28996;33751.3
5.29459;33758.6
5.30074;33765
5.30554;33771.7
5.30866;33777.6
5.3135;33784
5.31794;33792.2
5.32416;33799.8
5.32869;33805.6
5.33426;33810.7
5.34011;33817.6
5.346;33826.2
5.35113;33833.8
5.35644;33839.1
5.36147;33844.5
5.36546;33850.7
5.3719;33857
5.37784;33863.3
5.3835;33869.9
5.38848;33876.1
5.39425;33883.3
5.39771;33890
5.40318;33896
5.40735;33900.5
5.41194;33905.9
5.41743;33913.2
5.42175;33920.3
5.42659;33926.9
5.43201;33932.7
5.43723;33938.4
5.44295;33945.3
5.44896;33952.7
5.4543;33958.7
5.46081;33964.3
5.46661;33971.5
5.472;33979.7
5.47775;33986.3
5.48396;33991.6
5.49086;33995.8
5.49628;34001.8
5.50169;34008.8
5.50616;34016
5.51205;34021.7
5.51691;34027.3
5.52268;34033.5
5.52801;34039.9
5.53344;34044.7
5.53865;34049.7
5.54415;34055.9
5.54906;34064.7
5.55393;34072.3
5.55828;34077.9
5.56361;34082.8
5.56921;34088.6
5.57435;34096.3
5.58073;34102.6
5.58554;34108
5.59169;34112.8
5.59688;34120.8
5.60243;34129.2
5.60875;34135.7
5.61409;34140.2
5.62059;34144.5
5.62571;34149.7
5.63165;34156.4
5.63715;34162.3
5.6425;34166.4
5.64835;34171.6
5.65416;34179
5.6597;34185.6
5.66535;34191.7
5.67116;34196.8
5.67724;34201.8
5.6826;34208.8
5.6886;34215.8
5.69569;34221.9
5.70086;34226.7
5.70662;34232.3
5.71221;34238.5
5.71859;34245.1
5.72414;34250.9
5.73051;34256.6
5.73671;34263.2
5.74253;34270.3
5.74914;34275.3
5.75498;34280.7
5.76073;34286.6
5.76679;34294.4
5.77274;34300
5.77795;34304.2
5.78453;34308.7
5.79084;34313.1
5.79624;34319.4
5.80263;34325.3
5.80955;34331.6
5.81554;34336.9
5.82189;34343.3
5.82833;34349.6
5.83435;34354.5
5.84073;34358.7
5.84696;34363.4
5.85333;34370.2
5.85909;34377.8
5.86649;34383.4
5.8724;34387.8
5.87854;34392.6
5.88565;34399.2
5.89271;34406.5
5.89878;34412.8
5.9058;34417.3
5.91251;34421.1
5.91808;34427.6
5.92436;34435.8
5.93006;34442.3
5.93653;34446.2
5.94316;34449.8
5.94865;34456.5
5.95478;34464.6
5.96144;34470.9
5.9685;34473.6
5.97498;34476.9
5.98105;34483.9
5.98676;34490.9
5.99241;34495.5
5.998;34499.6
6.00596;34504.9
6.01261;34513.2
6.0194;34519.8
6.0267;34524.5
6.0334;34528.1
6.04124;34533.8
6.04741;34541
6.05475;34546.4
6.06111;34550.1
6.06846;34554.3
6.0748;34561.1
6.0821;34568.1
6.08864;34573.4
6.09581;34576.9
6.10265;34581.9
6.10865;34590.5
6.11576;34598.4
6.12258;34601.9
6.12894;34604.5
6.1349;34608.2
6.14134;34615.2
6.14761;34622.1
6.15465;34626.9
6.16285;34630
6.16908;34635.1
6.17615;34641.9
6.18373;34648.1
6.18985;34652.1
6.19654;34655.5
6.20234;34660.9
6.20881;34666.9
6.21551;34671.9
6.22199;34676.8
6.22878;34681.5
6.2345;34687.4
6.24008;34693.9
6.24594;34699.7
6.25144;34705.6
6.25696;34711.2
6.26293;34717.5
6.269;34722.3
6.27433;34725.8
6.27951;34728.5
6.28428;34731.9
6.28945;34739
6.29469;34745
6.30018;34750.2
6.30578;34754.2
6.3099;34760.9
6.31442;34768.5
6.3191;34774.2
6.32415;34777.1
6.32961;34780
6.3338;34784.9
6.33839;34792.1
6.34374;34797.8
6.34858;34801.9
6.35388;34805.6
6.35911;34812.2
6.36494;34819.5
6.3699;34825.6
6.37578;34829.4
6.37941;34833.2
6.38331;34839
6.38815;34843.5
6.39412;34847.7
6.39902;34851
6.40434;34856.1
6.40971;34862.4
6.4159;34867.2
6.42103;34871
6.42654;34874.7
6.43296;34880.8
6.43746;34887.5
6.4424;34892.1
6.44694;34895.2
6.45203;34899.5
6.4577;34906.3
6.46275;34913.7
6.46878;34918.4
6.47423;34921.3
6.48;34926.4
6.4835;34933.9
6.48699;34939.4
6.4917;34941.9
6.49606;34945.2
6.50009;34949.9
6.50408;34956.7
6.50965;34961.7
6.51425;34965.5
6.51893;34968.7
6.52475;34973.4
6.53079;34980
6.53734;34985.8
6.54289;34989.1
6.54771;34992.5
6.55309;34998.4
6.55735;35004
6.56185;35008.1
6.5668;35011.6
6.57144;35016.6
6.57619;35021.8
6.58171;35027.5
6.58863;35033.3
6.59193;35038.8
6.59671;35044.2
6.60071;35049.5
6.60544;35054
6.60909;35058
6.61461;35061.5
6.61861;35065.2
6.62369;35071.1
6.62729;35076.8
6.63268;35081
6.6374;35083.6
6.64334;35087.7
6.64735;35094
6.6529;35099.8
6.65679;35104.3
6.6622;35107.8
6.66669;35111
6.67208;35115.3
6.67799;35120.9
6.68294;35125.5
6.68889;35129.2
6.69404;35135.1
6.6995;35142.7
6.70403;35147.5
6.70914;35149.4
6.71533;35152.1
6.72078;35157
6.72636;35162.5
6.73159;35166.6
6.73759;35170.6
6.74315;35175
6.74783;35181.1
6.75404;35186.8
6.75853;35191.6
6.7646;35195.2
6.77013;35198.5
6.77538;35203.8
6.78103;35208.4
6.78584;35211.4
6.792;35213.8
6.79746;35218.3
6.80321;35225.5
6.80868;35231
6.81488;35234.4
6.82139;35238
6.82654;35243.4
6.8325;35249.8
6.83791;35254.4
6.84295;35256.9
6.84928;35259.2
6.85406;35264.2
6.86118;35269.9
6.86654;35275.7
6.87133;35279
6.87626;35281.7
6.88174;35286.2
6.88751;35291.3
6.89329;35295.9
6.89875;35299.4
6.90393;35303.3
6.90946;35307.7
6.91493;35312.5
6.92113;35317.2
6.92663;35320.9
6.93275;35324.3
6.93864;35330.1
6.94424;35336.3
6.95013;35341.7
6.95538;35344.7
6.96166;35348.7
6.96795;35353
6.97438;35357.2
6.97998;35360.3
6.98612;35364.3
6.99242;35370.1
6.99876;35375.9
7.00483;35379.6
7.0109;35382.1
7.01655;35385
7.0227;35390.7
7.02938;35395.9
7.03561;35400.4
7.04163;35402.9
7.0486;35405.7
7.05444;35409.8
7.06186;35414.9
7.06799;35418.3
7.07469;35422
7.08088;35427.5
7.08676;35435.8
7.09388;35441
7.10011;35442.9
7.10765;35444.6
7.11394;35449.4
7.12064;35454.8
7.12783;35458.6
7.13423;35460.8
7.14085;35464.4
7.14731;35470.9
7.15414;35476.8
7.16096;35480
7.16709;35481.5
7.17441;35484.4
7.1801;35490.5
7.18679;35494.8
7.19364;35497.2
7.19985;35498.8
7.20654;35502.7
7.21356;35509.1
7.22113;35513.9
7.22764;35517.3
7.23574;35521.7
7.24264;35526.8
7.24993;35532
7.25675;35535.3
7.26399;35537.9
7.27059;35540.7
7.2774;35545.2
7.28415;35550.2
7.29099;35554.7
7.2977;35557.7
7.30464;35561.9
7.31069;35567.7
7.3173;35572.8
7.3244;35575.3
7.33101;35577.8
7.33753;35580.8
7.34348;35586.2
7.34938;35590.4
7.35509;35593.9
7.36103;35597.1
7.36715;35601.3
7.37324;35606.6
7.38003;35611
7.38588;35614.1
7.39211;35618.3
7.39823;35623
7.40456;35627.7
7.41046;35630.3
7.4159;35632.3
7.42154;35634.9
7.42771;35640.6
7.43348;35646.7
7.43939;35649.6
7.44585;35651.6
7.45199;35654.6
7.45738;35659.9
7.46273;35664.7
7.46891;35668.8
7.4748;35671.1
7.48033;35673.4
7.48542;35678.2
7.49093;35683.2
7.4966;35686.7
7.5024;35689.2
7.50787;35694.1
7.51284;35699.8
7.51834;35704.8
7.52348;35707.6
7.52846;35709.5
7.53376;35712.6
7.53914;35718.3
7.5446;35722.1
7.5496;35724.6
7.55509;35727.8
7.55988;35732.4
7.56421;35737.7
7.56969;35741.7
7.57508;35745
7.57996;35747.8
7.58469;35752.4
7.58898;35756.6
7.59479;35759.6
7.59928;35760.8
7.60443;35763.4
7.6089;35769
7.61509;35773.9
7.61985;35777.1
7.62558;35780.6
7.63042;35785
7.63594;35790.9
7.64051;35794.9
7.64543;35796.8
7.64936;35799.4
7.65461;35803.5
7.65963;35808.6
7.66468;35812.2
7.66916;35814.5
7.67413;35818.1
7.67836;35822.6
7.68279;35827.7
7.68853;35831.1
7.69294;35833.3
7.6994;35834.6
7.70576;35838.6
7.71152;35843.6
7.71735;35847.4
7.72268;35849.8
7.72799;35852.9
7.73308;35857.8
7.73749;35862.3
7.74249;35866.1
7.74825;35870
7.75329;35872.7
7.75829;35876.3
7.7631;35880.1
7.76819;35883.2
7.77184;35885.3
7.77806;35889.6
7.78411;35893.4
7.78933;35896.8
7.79431;35899.9
7.79913;35903.6
7.80289;35908.6
7.80703;35913.7
7.8121;35917.4
7.8173;35918.7
7.82204;35918.6
7.82648;35920.6
7.83146;35925.9
7.83588;35931
7.84135;35934.8
7.84704;35937.1
7.85308;35941.1
7.85966;35946.3
7.86539;35950.8
7.87106;35952.2
7.87651;35954.2
7.88279;35959
7.88754;35963.3
7.89303;35966.4
7.89816;35968.1
7.90385;35970.9
7.91073;35975.8
7.91676;35979.9
7.92204;35982.2
7.9275;35983.7
7.93305;35987.4
7.93893;35992.3
7.9443;35995.5
7.94998;35996.4
7.95541;35999.7
7.96136;36005.8
7.96619;36011
7.97151;36015
7.97635;36016.3
7.98231;36018.6
7.98771;36024.4
7.99378;36029.7
8.00009;36032
8.00648;36033.1
8.01202;36034.9
8.01711;36038.6
8.02355;36043.4
8.02891;36046.7
8.03454;36048.1
8.0406;36050.3
8.04689;36055.3
8.0532;36058.7
8.0593;36060.9
8.06532;36063.7
8.07162;36068.4
8.07709;36071.6
8.08283;36073.6
8.08929;36075.6
8.09576;36078.6
8.10204;36083.4
8.10843;36088.9
8.11458;36093.8
8.12079;36096.9
8.12722;36100.1
8.13376;36103.4
8.13876;36106.6
8.14459;36109.1
8.15105;36110.7
8.15753;36113
8.16416;36117.6
8.17078;36121.3
8.17733;36123
8.18371;36124.4
8.19066;36128.2
8.19659;36133.4
8.20337;36136.4
8.20974;36138
8.21661;36140.3
8.22331;36144.5
8.22949;36149.4
8.23576;36153.5
8.24201;36154.7
8.24911;36155.2
8.25537;36158.3
8.26199;36163.5
8.26829;36168.5
8.27391;36171.1
8.28061;36172.8
8.28799;36177.1
8.29362;36181.5
8.30074;36185.2
8.30711;36187.6
8.31363;36190.5
8.32016;36195.2
8.32736;36198.8
8.33451;36200.4
8.34081;36201.7
8.34884;36204.6
8.35629;36209.7
8.36389;36213.3
8.37092;36214.6
8.37827;36215.7
8.3861;36219.4
8.39268;36224.4
8.40015;36227.5
8.40641;36228.1
8.41397;36229.5
8.42125;36234.5
8.42859;36240.2
8.43476;36241.9
8.44216;36243.3
8.44942;36245.6
8.45627;36252.3
8.46321;36258.1
8.47017;36261.8
8.47761;36261.7
8.4837;36261.9
8.49121;36264.2
8.49751;36267.4
8.50544;36271
8.51157;36274.7
8.51891;36277.8
8.52573;36282
8.53375;36285
8.54128;36286.5
8.54786;36287.7
8.55486;36290.9
8.56119;36294.4
8.56825;36296.8
8.57501;36298.9
8.58164;36301.7
8.58841;36305.9
8.59334;36309.8
8.6;36313.3
8.60581;36316.2
8.61283;36318.4
8.61849;36322.2
8.62464;36325.5
8.63048;36327.6
8.63715;36329.2
8.64323;36331.2
8.64943;36335.2
8.65561;36338.5
8.66184;36340.9
8.66821;36343.1
8.67475;36346.2
8.68084;36350.4
8.68681;36352.5
8.69338;36353.4
8.69958;36356
8.70659;36360.9
8.71234;36364.9
8.71833;36367.9
8.72344;36369.8
8.72941;36371.8
8.73448;36375.8
8.74019;36380.6
8.74576;36383.1
8.75173;36384.5
8.75815;36386.8
8.76313;36391.6
8.76956;36395.8
8.7741;36397.3
8.77876;36397
8.78471;36399.6
8.79119;36404.3
8.79661;36407.3
8.80307;36408.6
8.80823;36410.3
8.81453;36413.3
8.81896;36417.3
8.82395;36420.7
8.82965;36423.7
8.83469;36425.4
8.83973;36427.9
8.84469;36432.2
8.85095;36435.6
8.85739;36436.4
8.86361;36437.9
8.87063;36442
8.87677;36446.2
8.88255;36448.4
8.88656;36449.1
8.89141;36452.6
8.8961;36457.7
8.90205;36462.1
8.9085;36463.2
8.91257;36463.5
8.91833;36465.6
8.92284;36470.2
8.92814;36473.3
8.93424;36474.8
8.93965;36477
8.9453;36480.1
8.95152;36484.3
8.95715;36487.3
8.96264;36488.2
8.96817;36489.6
8.97297;36492.2
8.97943;36496
8.98507;36498.4
8.98997;36500.7
8.99503;36503.3
9.00078;36506.1
9.00513;36509.2
9.01166;36512.2
9.01644;36515.5
9.02166;36517
9.0267;36519.6
9.03176;36522.7
9.0379;36525.2
9.04292;36526.8
9.04981;36529.1
9.05535;36533.6
9.06103;36536.9
9.06524;36539.2
9.06956;36540.2
9.07479;36543
9.08185;36546.3
9.0877;36548.9
9.09167;36550.9
9.09731;36552.1
9.10256;36555.1
9.10716;36560.3
9.11275;36564
9.11869;36564.5
9.12464;36565
9.13021;36568.7
9.13603;36574.2
9.14184;36577
9.14768;36577.4
9.15395;36578
9.16019;36581.6
9.16624;36585.6
9.17149;36588.3
9.17759;36588.7
9.18426;36590.8
9.19035;36595.1
9.19613;36597.8
9.20091;36600
9.20629;36602.3
9.21228;36604.5
9.21749;36607.2
9.22255;36609.8
9.2292;36612
9.23549;36614.2
9.24188;36618.1
9.24739;36622.1
9.25334;36625.3
9.25891;36626.4
9.26425;36626.2
9.27044;36629
9.27749;36632.4
9.28356;36635.7
9.28904;36637.6
9.29451;36638.9
9.3006;36641.2
9.3062;36644.5
9.31262;36647.5
9.31822;36648.4
9.32533;36650.2
9.33116;36653.8
9.33831;36658
9.3445;36659.2
9.3507;36659.8
9.35724;36661.7
9.36413;36667.1
9.37088;36671.3
9.37676;36673.3
9.38333;36675
9.38886;36678
9.39577;36681.3
9.40239;36683.7
9.40821;36685
9.4143;36686.1
9.42043;36689.2
9.42642;36692.9
9.43226;36694.9
9.43905;36695.3
9.44456;36696.5
9.45168;36700.2
9.45831;36703.2
9.46546;36704.7
9.47214;36705.2
9.4791;36707.2
9.48609;36710.9
9.49263;36714.9
9.49894;36717
9.5066;36717.9
9.51414;36719.4
9.52031;36723.8
9.52628;36726.6
9.53354;36728
9.54125;36729.2
9.54849;36732.7
9.55506;36738.1
9.5619;36740.9
9.56886;36741.3
9.57441;36741.3
9.58166;36743.9
9.58841;36747.2
9.59595;36749.5
9.60214;36750.9
9.60952;36752.5
9.6171;36755.3
9.62541;36758.6
9.63218;36761
9.63959;36761.9
9.64709;36764.1
9.65375;36767.5
9.66138;36769.4
9.66785;36769.6
9.67443;36769.7
9.68202;36771.6
9.6892;36776.5
9.69567;36780.4
9.70278;36781.3
9.70993;36781.8
9.71634;36784.9
9.72396;36789.4
9.7316;36792
9.73931;36793.1
9.74728;36795.1
9.75543;36798.7
9.76379;36802
9.77318;36802.2
9.78174;36803.2
9.79041;36805.8
9.79765;36810.1
9.80482;36813.7
9.81278;36815.6
9.81949;36815.7
9.82685;36816.8
9.83434;36819.9
9.84176;36822.8
9.84859;36823.8
9.85478;36823.6
9.86205;36826
9.8679;36831.1
9.87446;36834
9.88091;36834.3
9.88726;36835.4
9.89366;36839.4
9.89981;36843.4
9.90637;36846.1
9.91229;36846.2
9.91841;36847
9.92519;36850
9.93129;36853
9.93785;36855.6
9.94344;36858.1
9.94936;36860.9
9.95504;36863.7
9.95993;36864.9
9.96619;36866
9.97279;36866.5
9.97881;36868.2
9.98465;36871.2
9.99031;36872.7
9.99646;36873.7
10.0023;36876.1
10.0077;36879.1
10.0141;36882.7
10.02;36885.5
10.0262;36886.9
10.0321;36888.2
10.0374;36890.4
10.0421;36892.8
10.0478;36894.5
10.0531;36894.8
10.0581;36896.5
10.0633;36900.9
10.0685;36904.3
10.0742;36907
10.0796;36907.8
10.086;36908.8
10.0907;36911.3
10.0965;36913.7
10.1005;36914.8
10.1048;36915.4
10.1098;36917
10.1151;36920
10.1202;36923.4
10.1262;36924.6
10.132;36924.5
10.1373;36926.4
10.1427;36930.3
10.1481;36932.1
10.1534;36933
10.1583;36934.2
10.1641;36937.8
10.1691;36941.5
10.1761;36944.1
10.1811;36944.5
10.1868;36945.5
10.1933;36949.6
10.1987;36953.5
10.2038;36954.9
10.2073;36955.2
10.2131;36955.1
10.2185;36957.6
10.224;36960.2
10.2288;36962.8
10.2329;36963.9
10.2383;36965.1
10.2423;36968.4
10.2478;36970.3
10.2525;36970.8
10.2593;36970.9
10.2649;36972.3
10.2709;36976.1
10.2758;36979.4
10.2821;36980.9
10.2859;36981.5
10.2921;36982.6
10.2971;36985.8
10.303;36988.3
10.3084;36990.8
10.3129;36991.8
10.3198;36994.2
10.3253;36997.3
10.3309;37000
10.3357;37000.9
10.3422;37001.7
10.3474;37004.9
10.3531;37007.9
10.3577;37008.9
10.3628;37009
10.3694;37011.4
10.3748;37014.1
10.3798;37015.9
10.3844;37017.2
10.3897;37017.3
10.396;37017.5
10.4015;37020.2
10.4078;37022.2
10.4127;37023.8
10.4184;37024.4
10.425;37027.1
10.4296;37031.7
10.4352;37035.5
10.4413;37035.7
10.4468;37035.2
10.4534;37038
10.4584;37042.2
10.4639;37044.8
10.469;37044.5
10.4746;37044.3
10.4798;37047.2
10.4865;37051.1
10.4914;37053.5
10.498;37053.4
10.5035;37054.1
10.509;37057.2
10.5151;37059.8
10.5215;37060.8
10.5272;37060
10.5329;37060.9
10.5388;37064.5
10.5452;37067.1
10.5511;37068.1
10.5581;37069.5
10.5636;37073.4
10.569;37075.8
10.5752;37076.9
10.5808;37076.8
10.587;37077.8
10.5935;37080.8
10.5998;37084.4
10.6061;37086.3
10.6115;37086.8
10.6183;37087.9
10.6243;37089.9
10.631;37092.7
10.6375;37094
10.6435;37094.1
10.6502;37095.3
10.6566;37098.3
10.6631;37099.6
10.669;37100
10.6758;37101.1
10.682;37103.7
10.6891;37107.6
10.6957;37109.8
10.7031;37111
10.7084;37111.7
10.7162;37112.9
10.7218;37114.7
10.7288;37116.3
10.7351;37117.1
10.7421;37118.5
10.7489;37121.2
10.7556;37123.5
10.7622;37124.8
10.7686;37125.7
10.7761;37127
10.7824;37130.8
10.7892;37133.5
10.7955;37134.2
10.8015;37133.7
10.8092;37134.7
10.8152;37137.9
10.8218;37140.2
10.8281;37140.4
10.8349;37139.6
10.8421;37141
10.8488;37146
10.8558;37150.1
10.8629;37150.3
10.8704;37149.4
10.8765;37151
10.8836;37155.4
10.8909;37157.5
10.8984;37157.6
10.905;37157.7
10.9125;37160.2
10.9195;37163.4
10.9265;37165.2
10.9335;37165.7
10.942;37166.9
10.9492;37170.4
10.9563;37172.4
10.9637;37172.6
10.9706;37172
10.978;37172.6
10.9852;37174.9
10.992;37176.5
10.9995;37178.1
11.0069;37180.1
11.0135;37183.5
11.0205;37186.8
11.0282;37187.3
11.0353;37186.6
11.0432;37188.4
11.0514;37192
11.0588;37194.6
11.0665;37195.6
11.0739;37195.9
11.0812;37197.3
11.0883;37200.7
11.0962;37203.8
11.103;37204.8
11.1109;37205.2
11.1185;37206.7
11.1267;37209.4
11.1338;37210.4
11.141;37210.6
11.1481;37209.6
11.1552;37210.3
11.162;37213.9
11.1695;37216.5
11.1768;37218.4
11.1827;37219.4
11.1891;37220.5
11.1962;37222.4
11.2037;37224.6
11.2107;37225.5
11.2178;37226.2
11.2246;37228.1
11.2324;37230.6
11.2382;37232.6
11.2447;37233.2
11.2521;37233.1
11.2581;37235.6
11.2648;37238.4
11.2702;37240
11.2767;37239.7
11.2827;37240.6
11.2891;37243.3
11.2943;37245.8
11.2998;37246.6
11.3054;37246.8
11.3107;37247.9
11.3171;37251.3
11.3216;37254.3
11.3266;37255
11.3314;37254.2
11.3369;37255.3
11.343;37258.2
11.3474;37259.9
11.3525;37260.5
11.3582;37261.4
11.365;37264.1
11.371;37266.4
11.3766;37267.8
11.3821;37268.2
11.3877;37268.9
11.393;37270.8
11.3992;37272.7
11.4037;37273.1
11.4102;37273.9
11.4157;37275.9
11.4224;37279.4
11.4292;37280.4
11.4353;37280.4
11.4415;37280.6
11.447;37283.7
11.4525;37287.2
11.4571;37288.1
11.4626;37287.3
11.4678;37288
11.4733;37290.5
11.4797;37293
11.4861;37295
11.4917;37294.6
11.4959;37294.3
11.5015;37296.3
11.5066;37299.9
11.5127;37301.1
11.5187;37300.6
11.5248;37300.4
11.5312;37303
11.537;37306
11.542;37307.8
11.5474;37307.6
11.5527;37307.3
11.5589;37309.1
11.5652;37312.7
11.5718;37315.7
11.5769;37315.8
11.5831;37315.1
11.5874;37317.1
11.5945;37320.1
11.5995;37321.8
11.6062;37321.2
11.6119;37321.8
11.6187;37324.4
11.6239;37326.3
11.6309;37327
11.6369;37327.1
11.6427;37328.7
11.6482;37332.3
11.655;37336
11.6608;37336.1
11.6666;37335.1
11.6721;37336.3
11.6773;37338.3
11.6841;37339
11.6896;37338.9
11.6955;37339.3
11.7009;37342.6
11.7071;37345.9
11.7138;37347.2
11.7195;37345.6
11.7273;37345.8
11.7337;37349
11.7384;37351.7
11.7444;37352.1
11.7497;37352
11.7566;37352.3
11.7621;37355
11.7694;37357.4
11.7754;37359.4
11.7811;37359.6
11.7865;37361.5
11.794;37364
11.8004;37366.1
11.8064;37365.8
11.8125;37364.9
11.819;37365.6
11.8259;37368.4
11.8326;37371.4
11.8385;37372.9
11.8446;37373.8
11.8514;37375.9
11.8575;37376.8
11.8638;37376.9
11.8702;37376.7
11.8773;37377.4
11.8841;37380.3
11.891;37382.6
11.898;37382
11.9053;37380.5
11.9123;37382.3
11.9185;37386
11.9251;37388.4
11.9314;37388.8
11.9387;37388.8
11.9446;37390
11.9522;37393
11.9587;37394.6
11.965;37394.5
11.9713;37393.2
11.9774;37395.4
11.9852;37399.3
11.9922;37402.5
11.9992;37401.7
12.0058;37399.8
12.0123;37402
12.0198;37404.8
12.0266;37406.4
12.0335;37405.9
12.0403;37407.1
12.0476;37410.6
12.0551;37412.3
12.0613;37411.9
12.0691;37411.1
12.0759;37412
12.0837;37415.2
12.0909;37416
12.0975;37415.1
12.104;37415.6
12.1111;37417.7
12.1184;37420.3
12.1249;37420.7
12.1318;37419.8
12.1393;37420.5
12.1472;37425.3
12.1543;37429.4
12.1618;37429.5
12.1688;37427.2
12.1764;37427.6
12.1836;37431.7
12.1906;37433.8
12.1989;37434.5
12.2054;37433.8
12.2132;37435.1
12.221;37437.7
12.2291;37438.4
12.2361;37437.8
12.2442;37438.1
12.2527;37440.2
12.26;37442.6
12.2681;37443.3
12.2756;37442.4
