Uitrekking (mm);Kracht (N)
0.0296252;5146.42
0.0296627;5194.92
0.0302252;5242.72
0.0301502;5290.78
0.0310502;5338.5
0.0304877;5386.74
0.0314627;5434.54
0.0309377;5483.38
0.0319877;5531.87
0.0319127;5581.57
0.0318002;5630.49
0.0322127;5680.09
0.0322502;5729.19
0.0327377;5779.31
0.0328502;5828.4
0.0326627;5878.44
0.0334877;5927.88
0.0331127;5978.52
0.0342377;6028.12
0.0334502;6079.1
0.0343502;6129.4
0.0341627;6180.55
0.0349502;6230.93
0.0348752;6282.51
0.0351002;6333.24
0.0354377;6384.82
0.0359627;6435.8
0.0359627;6487.56
0.0363002;6538.88
0.0361502;6590.98
0.0366752;6642.47
0.0369002;6694.57
0.0371252;6746.24
0.0373127;6798.59
0.0375752;6850.17
0.0377252;6902.7
0.0384752;6955.23
0.0380252;7008.27
0.0388877;7060.36
0.0384377;7113.66
0.0392252;7166.36
0.0393377;7219.74
0.0393002;7272.36
0.0402377;7326.34
0.0400502;7379.47
0.0408377;7433.45
0.0404627;7486.58
0.0404627;7541
0.0412877;7594.64
0.0409127;7649.22
0.0415877;7702.78
0.0416627;7757.36
0.0421502;7811.26
0.0427127;7866.28
0.0430127;7920.44
0.0432002;7975.71
0.0433877;8030.72
0.0436502;8086.51
0.0439127;8141.18
0.0440252;8196.71
0.0442502;8251.64
0.0447377;8307
0.0449627;8361.59
0.0457502;8417.03
0.0458252;8471.87
0.0457502;8527.58
0.0462752;8583.19
0.0462377;8639.67
0.0468377;8695.63
0.0466502;8752.1
0.0471002;8808.06
0.0477752;8864.1
0.0479252;8919.89
0.0489752;8976.45
0.0483752;9032.84
0.0490877;9089.83
0.0490127;9146.9
0.0492752;9204.06
0.0496877;9260.88
0.0495377;9317.87
0.0502502;9374.77
0.0507002;9432.45
0.0510002;9489.87
0.0514127;9547.46
0.0516377;9605.39
0.0519002;9663.24
0.0520877;9720.83
0.0523502;9778.42
0.0526502;9836.18
0.0531377;9893.6
0.0528752;9951.1
0.0544127;10008.4
0.0538502;10066.2
0.0547877;10123.5
0.0548627;10181.8
0.0549377;10240.3
0.0551627;10298.7
0.0550127;10356.9
0.0558002;10416
0.0559877;10474.2
0.0561752;10532.8
0.0568877;10591.1
0.0567002;10650
0.0576752;10708.3
0.0575627;10767.7
0.0581252;10826.9
0.0580127;10886.6
0.0585752;10945.9
0.0586502;11005.7
0.0595127;11064.4
0.0592877;11123.9
0.0597377;11183.1
0.0599627;11242.7
0.0603002;11302.2
0.0607877;11363
0.0604502;11422.6
0.0613502;11482.9
0.0612377;11542.5
0.0617627;11602.7
0.0621377;11661.5
0.0616877;11721.7
0.0629252;11781.3
0.0626252;11842.4
0.0637127;11902.6
0.0634127;11964.3
0.0637127;12024.8
0.0642752;12086
0.0643502;12145.8
0.0649127;12206.3
0.0645752;12265.9
0.0649502;12326.9
0.0655502;12386.7
0.0655502;12448.1
0.0660752;12508.8
0.0662627;12570.8
0.0666377;12631.2
0.0669002;12692.8
0.0673127;12753.1
0.0670877;12813.9
0.0676127;12873.7
0.0674252;12934.8
0.0684752;12995
0.0684002;13056.8
0.0689252;13118.2
