Tijd (s);Hoogte (m)
280.2;5.901977577
280.4;5.888609455
280.6;5.875121631
280.8;5.861126949
281;5.846240141
281.2;5.830105697
281.4;5.812424963
281.6;5.792980905
281.8;5.771659032
282;5.7484632
282.2;5.723525243
282.4;5.697107716
282.6;5.669599394
282.8;5.641503543
283;5.613419388
283.2;5.586017581
283.4;5.560010775
283.6;5.536120745
283.8;5.515043664
284;5.497415292
284.2;5.48377788
284.4;5.474550521
284.6;5.470004538
284.8;5.470245285
285;5.475201411
285.2;5.484622278
285.4;5.498083843
285.6;5.515002853
285.8;5.534658824
286;5.556222833
286.2;5.57879185
286.4;5.601426993
286.6;5.623193919
286.8;5.643203424
287;5.660650285
287.2;5.674848486
287.4;5.685261087
287.6;5.691523292
287.8;5.693457568
288;5.691080069
288.2;5.684598046
288.4;5.674398339
288.6;5.661027523
288.8;5.645164657
289;5.627587962
289.2;5.609137045
289.4;5.590672511
289.6;5.573034904
289.8;5.557004974
290;5.543267179
290.2;5.532378147
290.4;5.524741609
290.6;5.520590936
290.8;5.519980078
291;5.52278325
291.2;5.528703278
291.4;5.537288113
291.6;5.547954596
291.8;5.560018212
292;5.572727304
292.2;5.585299987
292.4;5.596961917
292.6;5.606983023
292.8;5.614711417
293;5.619602835
293.2;5.621244242
293.4;5.619370521
293.6;5.613873555
293.8;5.604803407
294;5.592361695
294.2;5.576887681
294.4;5.558837944
294.6;5.538760828
294.8;5.517267097
295;5.494998422
295.2;5.472595372
295.4;5.45066661
295.6;5.429760881
295.8;5.410343187
296;5.392776329
296.2;5.377308645
296.4;5.364068441
296.6;5.353065243
296.8;5.344197607
297;5.337266872
297.2;5.331995937
297.4;5.328051848
297.6;5.325070817
297.8;5.322684152
298;5.320543569
298.2;5.31834439
298.4;5.315845281
298.6;5.312883395
298.8;5.309384044
299;5.305364376
299.2;5.300930851
299.4;5.296270697
299.6;5.291637863
299.8;5.287334312
300;5.28368778
300.2;5.281027328
300.4;5.279658155
300.6;5.2798372
300.8;5.281751023
301;5.28549735
301.2;5.291071459
301.4;5.29835835
301.6;5.30713128
301.8;5.317056946
302;5.327707186
302.2;5.338576716
302.4;5.349106064
302.6;5.358708581
302.8;5.366800119
303;5.372829827
303.2;5.376310421
303.4;5.376846237
303.6;5.374157532
303.8;5.368099602
304;5.358675572
304.2;5.346042023
304.4;5.330506974
304.6;5.312520131
304.8;5.292655738
305;5.271588727
305.2;5.250065253
305.4;5.228868991
305.6;5.208784822
305.8;5.190561682
306;5.174876452
306.2;5.162300692
306.4;5.153271938
306.6;5.148071077
306.8;5.146806986
307;5.149409327
307.2;5.155629935
307.4;5.165052856
307.6;5.177112619
307.8;5.191119956
308;5.206293758
308.2;5.221797776
308.4;5.236780314
308.6;5.250414987
308.8;5.261940589
309;5.270698116
309.2;5.276163141
309.4;5.277971955
309.6;5.27594019
309.8;5.27007301
310;5.260566362
310.2;5.247799229
310.4;5.232317265
310.6;5.21480859
310.8;5.196072956
311;5.17698576
311.2;5.158458665
311.4;5.141398732
311.6;5.12666803
311.8;5.115045654
312;5.107193958
312.2;5.103630566
312.4;5.104707455
312.6;5.110598014
312.8;5.12129261
313;5.136602726
313.2;5.156173349
313.4;5.17950287
313.6;5.205969366
313.8;5.234861878
314;5.265415034
314.2;5.296845251
314.4;5.328386664
314.6;5.359325031
314.8;5.389027942
315;5.416969912
315.2;5.442751229
315.4;5.466109752
315.6;5.486925252
315.8;5.505216289
316;5.521129986
316.2;5.534925469
316.4;5.546952008
316.6;5.55762322
316.8;5.567388807
317;5.576705486
317.2;5.586008696
317.4;5.595686667
317.6;5.606058234
317.8;5.617355551
318;5.629712601
318.2;5.643160005
318.4;5.657626324
318.6;5.672945647
318.8;5.688870912
319;5.705092093
319.2;5.721258097
319.4;5.737001045
319.6;5.751961439
319.8;5.765812715
320;5.7782837
320.2;5.789177608
320.4;5.798386447
320.6;5.805899931
320.8;5.811808332
321;5.816299061
321.2;5.819647097
321.4;5.822199787
321.6;5.824356826
321.8;5.826546528
322;5.829199743
322.2;5.832722888
322.4;5.837471659
322.6;5.843726974
322.8;5.851674572
323;5.861389535
323.2;5.872826733
323.4;5.885817871
323.6;5.900075486
323.8;5.915203829
324;5.930716224
324.2;5.946058105
324.4;5.960634617
324.6;5.973841398
324.8;5.985096967
325;5.99387501
325.2;5.999734839
325.4;6.00234837
325.6;6.001522097
325.8;5.997212803
326;5.98953602
326.2;5.97876665
326.4;5.96533152
326.6;5.949794077
326.8;5.932831839
327;5.915207581
327.2;5.897735596
327.4;5.881244625
327.6;5.866539233
327.8;5.854361549
328;5.845355243
328.2;5.84003356
328.4;5.83875305
328.6;5.841694324
328.8;5.848850902
329;5.860026741
329.2;5.874842686
329.4;5.892751595
329.6;5.913061476
329.8;5.934965584
330;5.957578071
330.2;5.979973499
330.4;6.001228341
330.6;6.020462492
330.8;6.036878803
331;6.049798756
331.2;6.058692574
331.4;6.063202353
331.6;6.063157131
331.8;6.058579212
332;6.049681497
332.2;6.036856007
332.4;6.020654222
332.6;6.001760246
332.8;5.980958158
333;5.959095193
333.2;5.937042555
333.4;5.915655803
333.6;5.895736718
333.8;5.877998483
334;5.863035806
334.2;5.851301368
334.4;5.843089613
334.6;5.838528554
334.8;5.837579821
335;5.840046778
335.2;5.845590125
335.4;5.853750032
335.6;5.863973544
335.8;5.875645728
336;5.888122888
336.2;5.900766102
336.4;5.912973331
336.6;5.924208467
336.8;5.934025897
337;5.942089391
337.2;5.948184475
337.4;5.952223796
337.6;5.954245364
337.8;5.954403982
338;5.952956469
338.2;5.950241676
338.4;5.946656519
338.6;5.942629463
338.8;5.938593012
339;5.934956786
339.2;5.932082706
339.4;5.93026368
339.6;5.929706954
339.8;5.930523023
340;5.932720669
340.2;5.936208335
340.4;5.940801688
340.6;5.946236863
340.8;5.952188552
341;5.958291843
341.2;5.964166482
341.4;5.969442097
341.6;5.973782883
341.8;5.976910242
342;5.978622022
342.2;5.978807162
342.4;5.977454823
342.6;5.974657389
342.8;5.970607074
343;5.96558623
343.2;5.959951828
343.4;5.954114895
343.6;5.948516031
343.8;5.943598322
344;5.939779173
344.2;5.937422649
344.4;5.936813921
344.6;5.93813732
344.8;5.941459341
345;5.946717671
345.2;5.953717038
345.4;5.962132284
345.6;5.971518708
345.8;5.981329324
346;5.990938296
346.2;5.999669473
346.4;6.006828658
346.6;6.011738001
346.8;6.013770792
347;6.012384851
347.2;6.007152763
347.4;5.997787339
347.6;5.984160896
347.8;5.96631724
348;5.944475606
348.2;5.919026186
348.4;5.890517305
348.6;5.859634743
348.8;5.827174072
349;5.794007264
349.2;5.761045124
349.4;5.7291973
349.6;5.699331815
349.8;5.672236042
350;5.648581042
350.2;5.628891001
350.4;5.613519278
350.6;5.602632256
350.8;5.596201796
351;5.594006714
351.2;5.595643201
351.4;5.60054373
351.6;5.608003533
351.8;5.617213382
352;5.627297094
352.2;5.637351954
352.4;5.64649011
352.6;5.653878946
352.8;5.658778519
353;5.660574267
353.2;5.658803465
353.4;5.653174207
353.6;5.643576078
353.8;5.630082078
354;5.612941829
354.2;5.592566479
354.4;5.569506173
354.6;5.544421275
354.8;5.518048857
355;5.49116617
355.2;5.464552932
355.4;5.438954337
355.6;5.415046578
355.8;5.393406565
356;5.37448726
356.2;5.35859975
356.4;5.345902817
356.6;5.336400373
356.8;5.329946707
357;5.326259117
357.2;5.324937083
357.4;5.325486868
357.6;5.327350123
357.8;5.329934914
358;5.332647499
358.2;5.334923146
358.4;5.336254397
358.6;5.336215337
358.8;5.334480657
359;5.330838623
359.2;5.325197403
359.4;5.317584565
359.6;5.308139953
359.8;5.297102491
360;5.284791819
360.2;5.271585897
360.4;5.257895972
360.6;5.244140383
360.8;5.230718766
361;5.217988148
361.2;5.206242314
361.4;5.195695633
361.6;5.186472234
361.8;5.178601159
362;5.172017712
362.2;5.166570914
362.4;5.16203659
362.6;5.15813528
362.8;5.154553922
363;5.150969983
363.2;5.14707659
363.4;5.142607151
363.6;5.137357944
363.8;5.131207292
364;5.124130078
364.2;5.116206644
364.4;5.107625418
364.6;5.098678925
364.8;5.08975328
365;5.081311543
365.2;5.073871756
365.4;5.067980725
365.6;5.064184911
365.8;5.062999959
366;5.064880522
366.2;5.070192026
366.4;5.079185979
366.6;5.091980255
366.8;5.108545543
367;5.128698866
367.2;5.152104695
367.4;5.178283796
367.6;5.206629575
367.8;5.236431242
368;5.266902784
368.2;5.297216411
368.4;5.326538871
368.6;5.354068877
368.8;5.379073788
369;5.400923709
369.2;5.419121271
369.4;5.433325544
369.6;5.443368828
369.8;5.449265388
370;5.451211611
370.2;5.449577479
370.4;5.444889674
370.6;5.437807072
370.8;5.429089757
371;5.419563
371.2;5.410077943
371.4;5.40147086
371.6;5.394522984
371.8;5.389922843
372;5.388232945
372.2;5.389862437
372.4;5.395047079
372.6;5.403837502
372.8;5.416096342
373;5.431504357
373.2;5.449575248
373.4;5.46967844
373.6;5.491068696
373.8;5.512921125
374;5.534369855
374.2;5.554548503
374.4;5.572630461
374.6;5.587867072
374.8;5.599621864
375;5.607399226
375.2;5.610866198
375.4;5.609866401
375.6;5.604425526
375.8;5.594748227
376;5.581206695
376.2;5.564321595
376.4;5.544736418
376.6;5.523186611
376.8;5.500465112
377;5.477386031
377.2;5.454748319
377.4;5.433301219
377.6;5.413713178
377.8;5.396545681
378;5.382233202
378.2;5.371070128
378.4;5.363205116
378.6;5.358642973
378.8;5.357253746
379;5.358788315
379.2;5.362899499
379.4;5.369167354
379.6;5.377127207
379.8;5.386298792
380;5.396214882
380.2;5.406447825
380.4;5.416632574
380.6;5.426484993
380.8;5.43581452
381;5.444530605
381.2;5.45264267
381.4;5.460253759
381.6;5.467548351
381.8;5.474775161
382;5.482226049
382.2;5.490212332
382.4;5.499039972
382.6;5.508985149
382.8;5.520271703
383;5.533051831
383.2;5.547391215
383.4;5.563259515
383.6;5.580526847
383.8;5.598966527
384;5.618263991
384.2;5.638031444
384.4;5.657827471
384.6;5.677180524
384.8;5.695614995
385;5.712678377
385.2;5.727967994
385.4;5.741155707
385.6;5.75200917
385.8;5.760408326
386;5.766356086
386.2;5.76998248
386.4;5.771541855
386.6;5.771403128
386.8;5.770033447
387;5.767975999
387.2;5.765823029
387.4;5.764185413
387.6;5.763660345
387.8;5.764798821
388;5.768074651
388.2;5.773856678
388.4;5.782385744
388.6;5.793757716
388.8;5.807913612
389;5.824637476
389.2;5.843562292
389.4;5.864183803
389.6;5.885881687
389.8;5.907947164
390;5.929615743
390.2;5.950103576
390.4;5.968645632
390.6;5.984533829
390.8;5.997153213
391;6.00601435
391.2;6.010780292
391.4;6.011286684
391.6;6.007553953
391.8;5.999790877
392;5.98838925
392.2;5.973909827
392.4;5.957060123
392.6;5.938665081
392.8;5.919631964
393;5.900911111
393.2;5.883454419
393.4;5.868173516
393.6;5.855899627
393.8;5.847347028
394;5.843081833
394.2;5.843497582
394.4;5.848798774
394.6;5.85899308
394.8;5.873892577
395;5.893123866
395.2;5.916146535
395.4;5.942278997
395.6;5.970730413
395.8;6.000637083
396;6.031101527
396.2;6.061232324
396.4;6.090182798
396.6;6.117186682
396.8;6.141589119
397;6.162871541
397.2;6.180669363
397.4;6.19478176
397.6;6.205173224
397.8;6.211966999
398;6.215430933
398.2;6.215956615
398.4;6.214033048
398.6;6.210216309
398.8;6.205096874
399;6.199266339
399.2;6.193285302
399.4;6.187654033
399.6;6.182787427
399.8;6.178995443
400;6.176469947
