Tijd (s);Hoogte (m)
55.2;1329.938597
55.4;1328.384038
55.6;1326.833391
55.8;1325.286473
56;1323.742927
56.2;1322.202238
56.4;1320.66376
56.6;1319.12674
56.8;1317.590357
57;1316.053762
57.2;1314.516113
57.4;1312.976621
57.6;1311.434586
57.8;1309.889432
58;1308.340734
58.2;1306.78824
58.4;1305.231887
58.6;1303.671802
58.8;1302.108298
59;1300.541864
59.2;1298.973138
59.4;1297.402885
59.6;1295.831956
59.8;1294.261254
60;1292.691694
60.2;1291.124157
60.4;1289.559458
60.6;1287.998305
60.8;1286.44127
61;1284.888768
61.2;1283.341038
61.4;1281.798137
61.6;1280.259939
61.8;1278.726149
62;1277.196315
62.2;1275.669857
62.4;1274.14609
62.6;1272.624266
62.8;1271.103603
63;1269.583324
63.2;1268.062695
63.4;1266.541048
63.6;1265.017817
63.8;1263.492555
64;1261.964949
64.2;1260.434827
64.4;1258.902159
64.6;1257.367046
64.8;1255.829709
65;1254.290467
65.2;1252.749714
65.4;1251.20789
65.6;1249.665453
65.8;1248.122848
66;1246.580484
66.2;1245.038707
66.4;1243.497782
66.6;1241.95788
66.8;1240.41907
67;1238.881316
67.2;1237.344485
67.4;1235.808358
67.6;1234.272646
67.8;1232.737009
68;1231.201083
68.2;1229.664502
68.4;1228.126925
68.6;1226.588059
68.8;1225.047678
69;1223.50564
69.2;1221.961898
69.4;1220.416507
69.6;1218.86962
69.8;1217.321481
70;1215.772413
70.2;1214.2228
70.4;1212.673062
70.6;1211.123633
70.8;1209.574931
71;1208.027333
71.2;1206.48115
71.4;1204.936603
71.6;1203.393811
71.8;1201.852771
72;1200.31336
72.2;1198.775333
72.4;1197.238332
72.6;1195.701901
72.8;1194.165507
73;1192.628566
73.2;1191.090474
73.4;1189.550637
73.6;1188.008505
73.8;1186.463603
74;1184.91556
74.2;1183.36413
74.4;1181.809215
74.6;1180.250872
74.8;1178.689318
75;1177.124927
75.2;1175.558214
75.4;1173.98982
75.6;1172.420478
75.8;1170.85099
76;1169.282183
76.2;1167.714874
76.4;1166.149834
76.6;1164.587745
76.8;1163.029171
77;1161.474528
77.2;1159.924062
77.4;1158.377837
77.6;1156.835723
77.8;1155.297408
78;1153.762402
78.2;1152.230063
78.4;1150.699623
78.6;1149.170219
78.8;1147.640936
79;1146.110844
79.2;1144.579044
79.4;1143.044703
79.6;1141.507097
79.8;1139.965637
80;1138.419903
80.2;1136.869653
80.4;1135.314841
80.6;1133.755609
80.8;1132.192288
81;1130.625374
81.2;1129.055506
81.4;1127.483436
81.6;1125.909992
81.8;1124.336043
82;1122.762453
82.2;1121.190048
82.4;1119.619578
82.6;1118.051682
82.8;1116.486869
83;1114.92549
83.2;1113.367734
83.4;1111.813624
83.6;1110.263018
83.8;1108.715627
84;1107.171032
84.2;1105.62871
84.4;1104.088065
84.6;1102.54846
84.8;1101.00925
85;1099.469816
85.2;1097.929596
85.4;1096.388107
85.6;1094.844974
85.8;1093.299935
86;1091.752857
86.2;1090.203734
86.4;1088.652679
86.6;1087.099914
86.8;1085.54575
87;1083.990568
87.2;1082.434785
87.4;1080.878838
87.6;1079.323147
87.8;1077.768093
88;1076.213997
88.2;1074.661099
88.4;1073.109545
88.6;1071.559382
88.8;1070.010553
89;1068.462907
89.2;1066.916206
89.4;1065.370146
89.6;1063.824372
89.8;1062.278509
90;1060.732178
90.2;1059.185028
90.4;1057.636759
90.6;1056.087137
90.8;1054.536018
91;1052.983353
91.2;1051.429198
91.4;1049.873709
91.6;1048.317137
91.8;1046.759815
92;1045.202137
92.2;1043.644535
92.4;1042.087455
92.6;1040.531326
92.8;1038.976536
93;1037.423401
93.2;1035.872144
93.4;1034.322875
93.6;1032.775581
93.8;1031.230115
94;1029.686196
94.2;1028.143423
94.4;1026.601284
94.6;1025.059177
94.8;1023.516442
95;1021.972386
95.2;1020.426323
95.4;1018.877602
95.6;1017.325648
95.8;1015.769988
96;1014.210281
96.2;1012.64634
96.4;1011.078146
96.6;1009.505854
96.8;1007.929793
97;1006.350457
97.2;1004.768484
97.4;1003.184633
97.6;1001.599753
97.8;1000.014746
98;998.4305249
98.2;996.8479787
98.4;995.2679282
98.6;993.6910904
98.8;992.1180459
99;990.5492125
99.2;988.9848256
99.4;987.4249281
99.6;985.8693682
99.8;984.3178064
100;982.7697321
100.2;981.2244867
100.4;979.6812949
100.6;978.1393002
100.8;976.5976047
101;975.0553104
101.2;973.5115602
101.4;971.9655763
101.6;970.4166954
101.8;968.8643969
102;967.3083254
102.2;965.7483037
102.4;964.1843387
102.6;962.6166172
102.8;961.045494
103;959.4714718
103.2;957.8951747
103.4;956.3173159
103.6;954.7386624
103.8;953.1599975
104;951.582083
104.2;950.005624
104.4;948.4312364
104.6;946.8594208
104.8;945.2905413
105;943.7248127
105.2;942.162295
105.4;940.6028955
105.6;939.0463794
105.8;937.4923865
106;935.9404536
106.2;934.3900424
106.4;932.8405694
106.6;931.2914379
106.8;929.7420692
107;928.1919321
107.2;926.6405685
107.4;925.0876147
107.6;923.5328168
107.8;921.976039
108;920.4172661
108.2;918.8565984
108.4;917.2942408
108.6;915.7304859
108.8;914.1656934
109;912.6002655
109.2;911.0346209
109.4;909.4691689
109.6;907.9042847
109.8;906.3402871
110;904.7774208
110.2;903.2158436
110.4;901.6556192
110.6;900.0967165
110.8;898.5390144
111;896.9823136
111.2;895.4263524
111.4;893.8708271
111.6;892.3154158
111.8;890.759803
112;889.2037049
112.2;887.6468923
112.4;886.0892119
112.6;884.5306022
112.8;882.9711046
113;881.4108685
113.2;879.8501494
113.4;878.2893012
113.6;876.7287611
113.8;875.1690303
114;873.6106482
114.2;872.0541649
114.4;870.5001108
114.6;868.9489662
114.8;867.4011318
115;865.8569031
115.2;864.3164484
115.4;862.7797929
115.6;861.2468098
115.8;859.7172181
116;858.1905895
116.2;856.666361
116.4;855.1438567
116.6;853.6223143
116.8;852.1009169
117;850.5788291
117.2;849.0552336
117.4;847.5293688
117.6;846.0005637
117.8;844.4682697
118;842.932087
118.2;841.3917833
118.4;839.8473065
118.6;838.2987874
118.8;836.7465345
119;835.19102
119.2;833.6328581
119.4;832.0727762
119.6;830.5115802
119.8;828.9501165
120;827.3892316
120.2;825.8297311
120.4;824.2723415
120.6;822.7176744
120.8;821.1661973
121;819.6182108
121.2;818.0738334
121.4;816.5329959
121.6;814.9954437
121.8;813.4607489
122;811.9283302
122.2;810.3974801
122.4;808.8673985
122.6;807.3372296
122.8;805.8061026
123;804.2731718
123.2;802.7376562
123.4;801.1988747
123.6;799.656278
123.8;798.1094718
124;796.5582346
124.2;795.002526
124.4;793.4424866
124.6;791.8784295
124.8;790.3108242
125;788.740273
125.2;787.1674817
125.4;785.5932265
125.6;784.0183181
125.8;782.4435652
126;780.8697387
126.2;779.2975398
126.4;777.7275714
126.6;776.160316
126.8;774.5961198
127;773.0351847
127.2;771.4775669
127.4;769.9231839
127.6;768.3718277
127.8;766.8231839
128;765.2768559
128.2;763.7323919
128.4;762.1893138
128.6;760.6471466
128.8;759.1054454
129;757.5638199
129.2;756.021955
129.4;754.4796249
129.6;752.9367026
129.8;751.3931616
130;749.849072
130.2;748.3045905
130.4;746.7599448
130.6;745.2154138
130.8;743.6713044
131;742.1279276
131.2;740.5855729
131.4;739.0444858
131.6;737.5048463
131.8;735.966753
132;734.430211
132.2;732.8951267
132.4;731.3613078
132.6;729.8284701
132.8;728.2962506
133;726.7642246
133.2;725.2319286
133.4;723.6988855
133.6;722.1646311
133.8;720.6287417
134;719.0908594
134.2;717.550715
134.4;716.0081461
134.6;714.46311
134.8;712.9156908
135;711.3660983
135.2;709.8146615
135.4;708.2618141
135.6;706.7080746
135.8;705.1540209
136;703.6002606
136.2;702.0473998
136.4;700.4960099
136.6;698.9465962
136.8;697.3995685
137;695.8552165
137.2;694.3136901
137.4;692.7749872
137.6;691.2389486
137.8;689.705261
138;688.1734677
138.2;686.6429878
138.4;685.1131409
138.6;683.5831788
138.8;682.0523203
139;680.5197891
139.2;678.9848521
139.4;677.4468565
139.6;675.905264
139.8;674.3596795
140;672.8098743
140.2;671.2558007
140.4;669.6975993
140.6;668.1355968
140.8;666.5702946
141;665.0023502
141.2;663.4325495
141.4;661.8617743
141.6;660.2909641
141.8;658.7210751
142;657.1530383
142.2;655.5877184
142.4;654.0258763
142.6;652.4681349
142.8;650.9149528
143;649.3666044
143.2;647.8231693
143.4;646.2845297
143.6;644.7503779
143.8;643.2202314
144;641.6934565
144.2;640.169298
144.4;638.6469142
144.6;637.1254153
144.8;635.6039031
145;634.0815103
145.2;632.5574377
145.4;631.0309868
145.6;629.501587
145.8;627.9688163
146;626.4324139
146.2;624.8922845
146.4;623.3484952
146.6;621.8012632
146.8;620.2509381
147;618.6979769
147.2;617.142915
147.4;615.5863342
147.6;614.0288295
147.8;612.4709763
148;610.9133001
148.2;609.3562491
148.4;607.8001734
148.6;606.2453087
148.8;604.691768
149;603.1395397
149.2;601.5884929
149.4;600.0383893
149.6;598.488901
149.8;596.9396326
150;595.3901465
150.2;593.8399907
150.4;592.2887262
150.6;590.735953
150.8;589.1813337
151;587.6246126
151.2;586.0656301
151.4;584.5043304
151.6;582.9407641
151.8;581.3750832
152;579.8075307
152.2;578.2384254
152.4;576.6681409
152.6;575.097083
152.8;573.5256642
153;571.9542783
153.2;570.3832767
153.4;568.8129467
153.6;567.243494
153.8;565.6750305
154;564.1075677
154.2;562.5410163
154.4;560.9751929
154.6;559.4098312
154.8;557.8446008
155;556.2791289
155.2;554.7130259
155.4;553.1459129
155.6;551.5774498
155.8;550.0073613
156;548.435461
156.2;546.8616707
156.4;545.2860343
156.6;543.7087252
156.8;542.1300471
157;540.5504269
157.2;538.9704007
157.4;537.3905933
157.6;535.8116923
157.8;534.2344168
158;532.6594842
158.2;531.0875754
158.4;529.5192996
158.6;527.9551629
158.8;526.3955397
159;524.8406502
159.2;523.2905441
159.4;521.745093
159.6;520.2039898
159.8;518.6667578
160;517.1327675
160.2;515.6012604
160.4;514.0713799
160.6;512.5422073
160.8;511.0128009
161;509.4822361
161.2;507.9496466
161.4;506.4142614
161.6;504.8754391
161.8;503.3326954
162;501.785724
162.2;500.2344087
162.4;498.6788273
162.6;497.1192459
162.8;495.5561047
163;493.9899958
163.2;492.4216337
163.4;490.8518205
163.6;489.2814068
163.8;487.7112514
164;486.1421799
164.2;484.5749462
164.4;483.0101971
164.6;481.448443
164.8;479.8900348
165;478.3351494
165.2;476.7837829
165.4;475.2357538
165.6;473.6907134
165.8;472.1481649
166;470.6074895
166.2;469.0679774
166.4;467.5288632
166.6;465.9893633
166.8;464.4487136
167;462.9062054
167.2;461.3612182
167.4;459.8132473
167.6;458.2619253
167.8;456.7070365
168;455.1485234
168.2;453.5864853
168.4;452.0211697
168.6;450.4529557
168.8;448.8823319
169;447.30987
169.2;445.7361941
169.4;444.1619489
169.6;442.587768
169.8;441.014244
170;439.4419012
170.2;437.8711739
170.4;436.3023892
170.6;434.7357578
170.8;433.1713695
171;431.6091974
171.2;430.0491073
171.4;428.4908733
171.6;426.934198
171.8;425.3787358
172;423.8241185
172.2;422.2699812
172.4;420.7159873
172.6;419.1618501
172.8;417.6073521
173;416.0523576
173.2;414.4968212
173.4;412.9407889
173.6;411.3843942
173.8;409.8278474
174;408.2714198
174.2;406.7154243
174.4;405.1601916
174.6;403.6060461
174.8;402.05328
175;400.5021301
175.2;398.9527566
175.4;397.4052257
175.6;395.8594981
175.8;394.315423
176;392.772739
176.2;391.2310809
176.4;389.6899938
176.6;388.1489524
176.8;386.6073856
177;385.0647041
177.2;383.5203311
177.4;381.9737328
177.6;380.4244481
177.8;378.8721159
178;377.3164977
178.2;375.7574948
178.4;374.195159
178.6;372.6296956
178.8;371.0614593
179;369.4909416
