Tijd (s);Positie (m);Snelheid (m/s);Versnelling (m/s2)
2.26;0.5888624;-0.213422222222;5.11112345679
2.28;0.581728;-0.0781277777778;9.13184567901
2.3;0.5828256;0.194747777778;11.3534058642
2.32;0.5905088;0.446281111111;9.68075154321
2.34;0.6014848;0.637598888889;4.05354012346
2.36;0.6171256;0.702387777778;-6.18617438272
2.38;0.6360592;0.429512222222;-17.1335910494
2.4;0.6415472;-0.168832222222;-18.5855185185
2.42;0.62426;-0.541177777778;-8.81848765432
2.44;0.6116376;-0.512594444444;1.62342746914
2.46;0.6025824;-0.362817777778;7.04896759259
2.48;0.5970944;-0.176073333333;9.05350617284
2.5;0.595448;0.0148633333333;9.55477314815
2.52;0.5976432;0.209611111111;9.41503240741
2.54;0.60368;0.4116;7.5544691358
2.56;0.6141072;0.572428888889;2.24326234568
2.58;0.628376;0.599868888889;-7.1643595679
2.6;0.6464864;0.242767777778;-13.9687808642
2.62;0.6388032;-0.163877777778;-10.9643549383
2.64;0.6327664;-0.255344444444;-4.02654475309
2.66;0.6286504;-0.288882222222;2.00771450617
2.68;0.618772;-0.172643333333;7.29563117284
2.7;0.6190464;0.07203;8.60570061728
2.72;0.6237112;0.236288888889;5.85111419753
2.74;0.6281016;0.365866666667;-0.31812191358
2.76;0.6418216;0.296123333333;-8.99369290123
2.78;0.6481328;-0.12691;-10.931537037
2.8;0.6319432;-0.343381111111;-3.27385030864
2.82;0.6272784;-0.229428888889;4.08635802469
2.84;0.6237112;-0.0929911111111;7.53541358025
2.86;0.622888;0.0987077777778;8.28652006173
2.88;0.6264552;0.307937777778;4.72207253086
2.9;0.6371568;0.391401111111;-3.57979783951
2.92;0.6486816;0.152063333333;-10.6525848765
2.94;0.6456632;-0.19894;-9.43355864198
2.96;0.6371568;-0.374632222222;-0.795569444444
2.98;0.6237112;-0.210373333333;7.23475925926
3;0.6272784;0.0613588888889;8.03932716049
3.02;0.6291992;0.193604444444;3.87039506173
3.04;0.6355104;0.259536666667;-2.5894382716
3.06;0.6453888;0.0510688888889;-6.73825617284
3.08;0.6374312;-0.155874444444;-3.68989660494
3.1;0.6344128;-0.140248888889;1.95213580247
3.12;0.63112;-0.0499255555556;6.02314351852
3.14;0.6289248;0.187125555556;5.29003395062
3.16;0.640724;0.303364444444;-1.94313734568
3.18;0.648956;0.0636455555556;-6.94945524691
3.2;0.642096;-0.138343333333;-4.30496759259
3.22;0.6396264;-0.162734444444;1.21479166667
3.24;0.632492;-0.0285833333333;3.87727623457
3.26;0.63798;0.120812222222;0.526145061728
3.28;0.6429192;0.0186744444444;-3.94661728395
3.3;0.640724;-0.167688888889;-2.58043981481
3.32;0.6319432;-0.169975555556;2.73711882716
3.34;0.6300224;0.0163877777778;4.80570524691
3.36;0.6344128;0.124623333333;2.0495308642
3.38;0.6374312;0.117001111111;-1.64724691358
3.4;0.6423704;-0.0266777777778;-1.85950462963
3.42;0.632492;-0.02744;0.903550925926
3.44;0.6371568;0.1372;-1.19891203704
3.46;0.6470352;-0.0602155555556;-3.70154166667
3.48;0.6327664;-0.16807;0.206435185185
3.5;0.6341384;-0.0270588888889;3.21191975309
3.52;0.6335896;0.0544988888889;2.41476234568
3.54;0.6382544;0.0708866666667;0.943779320988
3.56;0.636608;0.0533555555556;0.636773148148
3.58;0.6377056;0.132626666667;-0.962834876543
3.6;0.6459376;0.0426844444444;-3.41623765432
3.62;0.6404496;-0.0887988888889;-2.1564537037
3.64;0.6385288;-0.0636455555556;0.260955246914
3.66;0.6385288;-0.0449711111111;1.52709104938
3.68;0.6368824;-0.00952777777778;2.56932407407
3.7;0.6363336;0.0827011111111;2.05641203704
3.72;0.640724;0.14063;-1.17191666667
3.74;0.6467608;-0.000762222222222;-2.68154012346
3.76;0.6388032;-0.0670755555556;0.190026234568
3.78;0.6401752;0.0350622222222;2.09346450617
3.8;0.642096;0.07203;1.56149691358
3.82;0.6431936;0.1029;0.419222222222
3.84;0.6470352;0.0849877777778;-0.669061728395
3.86;0.6467608;0.0567855555556;-0.793981481481
3.88;0.6486816;0.0529744444444;-0.759046296296
3.9;0.6495048;0.0255344444444;-0.571666666667
3.92;0.6492304;0.02058;0.0682824074074
3.94;0.6500536;0.03087;0.628833333333
3.96;0.6506024;0.0426844444444;1.19679475309
3.98;0.6508768;0.0887988888889;1.15550771605
4;0.654444;0.117001111111;-0.0862793209877
4.02;0.657188;0.0766033333333;-0.941132716049
4.04;0.657188;0.0464955555556;-0.425574074074
4.06;0.6577368;0.0670755555556;-0.149797839506
4.08;0.6604808;0.0647888888889;-0.840561728395
4.1;0.661304;0.0247722222222;-1.31589197531
4.12;0.6607552;1.54968630521E-16;-1.16133024691
4.14;0.6610296;-0.00838444444444;-1.07928549383
4.16;0.662676;-0.0914666666667;1.21690895062
4.18;0.6536208;-0.00190555555556;4.99202623457
4.2;0.6602064;0.190936666667;4.7464212963
4.22;0.6637736;0.269826666667;0.464214506173
4.24;0.6733776;0.217995555556;-4.34202006173
4.26;0.675024;0.0350622222222;-5.91357407407
4.28;0.6742008;-0.111665555556;-2.80540123457
4.3;0.6673408;-0.107473333333;1.85156481481
4.32;0.6673408;0.0320133333333;3.14310802469
4.34;0.6706336;0.0907044444444;0.20749382716
4.36;0.670908;0.0910855555556;-4.98249845679
4.38;0.6783168;-0.0937533333333;-9.28905401235
4.4;0.6744752;-0.53508;-1.92884567901
4.42;0.6423704;-0.333472222222;12.0971018519
4.44;0.6525232;0.251914444444;12.8460910494
4.46;0.664048;0.376918888889;3.97943518519
4.48;0.6711824;0.306032222222;-1.87167901235
4.5;0.6744752;0.238575555556;-4.65802469136
4.52;0.6816096;0.12691;-6.46830246914
4.54;0.6816096;-0.0609777777778;-5.81353240741
4.56;0.677768;-0.176073333333;-1.84997685185
4.58;0.6714568;-0.137962222222;2.19191820988
4.6;0.670908;-0.0232477777778;2.84827623457
4.62;0.6711824;0.0499255555556;-0.312828703704
4.64;0.6752984;-0.00304888888889;-4.83270061728
4.66;0.6747496;-0.220282222222;-5.51605401235
4.68;0.6643224;-0.33614;-0.828387345679
4.7;0.6569136;-0.24696;3.97096604938
4.72;0.6538952;-0.10633;5.71560802469
4.74;0.6538952;0.00343;5.9125154321
4.76;0.6538952;0.11662;5.80347530864
4.78;0.6566392;0.283165555556;3.20927314815
4.8;0.6676152;0.323944444444;-2.57620524691
4.82;0.675024;0.123098888889;-5.57216203704
4.84;0.670908;-0.02058;-2.84986419753
4.86;0.6706336;0.000762222222222;0.738402777778
4.88;0.670908;0.0525933333333;2.1178132716
4.9;0.6714568;0.146346666667;0.217233333333
4.92;0.6788656;0.127291111111;-4.47953765432
4.94;0.6816096;-0.105948888889;-5.70735061728
4.96;0.6717312;-0.216318666667;-1.77788333333
4.98;0.6684384;-0.147108888889;1.33886450617
5;0.6678896;-0.0838444444444;2.74696419753
