;diepvries;klasse;verbruik;aankoopprijs;Unnamed: 4;kostprijs1;kostprijs2;kostprijs3;kostprijs4;kostprijs5;kostprijs6;kostprijs7;kostprijs8;kostprijs9;kostprijs10;kostprijs11;kostprijs12;kostprijs13;kostprijs14;kostprijs15;kostprijs16;kostprijs17;kostprijs18;kostprijs19;kostprijs20
0;oude diepvries;NVT;300;0.0;;84.00000000000001;168.00000000000003;252.00000000000006;336.00000000000006;420.00000000000006;504.0000000000001;588.0000000000001;672.0000000000001;756.0000000000001;840.0000000000001;924.0000000000001;1008.0000000000002;1092.0000000000002;1176.0000000000002;1260.0000000000002;1344.0000000000002;1428.0000000000002;1512.0000000000002;1596.0000000000002;1680.0000000000002
1;PROLINE TTZ 71;A+;164;159.0;;204.92000000000002;250.84;296.76;342.68;388.6;434.52;480.44;526.36;572.28;618.2;664.12;710.04;755.96;801.88;847.8000000000001;893.72;939.64;985.5600000000001;1031.48;1077.4
2;AEG ATB 81121 AW;A++;145;294.99;;335.59000000000003;376.19;416.79;457.39;497.99;538.59;579.19;619.79;660.3900000000001;700.99;741.59;782.19;822.7900000000001;863.39;903.99;944.59;985.19;1025.79;1066.3899999999999;1106.99
3;LIEBHERR GP 1486-20;A+++;100;449.0;;477.0;505.0;533.0;561.0;589.0;617.0;645.0;673.0;701.0;729.0;757.0;785.0;813.0;841.0;869.0;897.0;925.0;953.0;981.0000000000001;1009.0000000000001
