auto_uit_2013;diesel_normverbruik;diesel_gemeten;benzine_normverbruik;benzine_gemeten
Dacia Lodgy;5.4;6.1;5.8;6.8
Volkswagen Polo;3.8;4.8;5.5;6.1
Citro‰n C3;4.0;4.9;4.3;5.6
Opel Corsa;4.0;5.0;5.3;6.2
Renault Clio;3.4;5.3;4.5;5.7
Ford Fiesta;3.3;5.2;4.3;5.4
Volkswagen Golf;3.8;5.1;4.9;6.2
Skoda Superb;5.9;6.4;6.6;6.8
Mazda CX 5;4.6;6.7;6.0;7.2
Mercedes C;4.4;6.0;6.7;6.9
