soort_grond;categorie;id_gemeente;gemeente;id_arrondissement;arrondissement;id_provincie;provincie;aantal_percelen;belastbare_oppervlakte_ha;niet_belastbare_oppervlakte;totale_opp_ha;belastbaar_kadastraal_inkomen;niet_belastbaar_kadastraal_inkomen;totaal_belastbaar_inkomen;
Akkerland;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;446;259.4923;12.8311;272.3234;12567;595;13162;
Grasland;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;265;161.3178;7.2585;168.5763;7257;280;7537;
Tuinen en parken;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;108;16.1026;3.6456;19.7482;1178;285;1463;
Boomgaarden;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;0.1755;0.4605;0.636;8;23;31;
Bossen;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;36;14.5317;10.1018;24.6335;150;125;275;
Woeste gronden;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;47;0.9983;0.0091;1.0074;0;0;0;
Recreatieterreinen;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;11;8.5383;1.6167;10.155;409;134;543;
Gekadastreerde wateren;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;11;1.2583;0.6115;1.8698;35;19;54;
Gekadastreerde wegenis;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;115;9.1959;3.9908;13.1867;261;121;382;
Andere (onbebouwde percelen);Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;553;38.4307;3.1388;41.5695;23502;212;23714;
Appartementen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3190;34.5686;0;34.5686;1708902;44422;1753324;
Buildings;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;36;1.814;0;1.814;144632;0;144632;
Huizen en hoeven;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;4227;238.6902;0.2961;238.9863;6031027;1687;6032714;
Bijgebouwen met inbegrip van serres;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;158;17.073;0;17.073;65509;0;65509;
Ambachts- en industriegebouwen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;71;40.7531;0.7171;41.4702;1415988;424365;1840353;
Opslagruimten;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;184;75.3623;0.2788;75.6411;2291272;74226;2365498;
Kantoorgebouwen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;33;9.086;0;9.086;530903;760;531663;
Gebouwen met handelsbestemming;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;149;20.6509;0;20.6509;805128;0;805128;
Openbare gebouwen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;0.1316;0.4099;0.5415;5706;22094;27800;
Gebouwen voor nutsvoorzieningen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;48;0.7977;0.4185;1.2162;28959;301082;330041;
Gebouwen voor sociale zorg en ziekenzorg;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;4;2.8413;0.319;3.1603;118118;22463;140581;
Gebouwen voor onderwijs. onderzoek en cultuur;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;14;0.2817;4.8887;5.1704;0;72842;72842;
Gebouwen voor eredienst;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;0;0.1304;0.1304;0;3400;3400;
Gebouwen voor recreatie en sport;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;22;3.8595;1.309;5.1685;48277;17275;65552;
Andere (bebouwde percelen);Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;6;0.9503;0.0818;1.0321;7199;89;7288;
Niet genormaliseerde percelen;Niet genormaliseerde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;0;0;0;0;
Niet gekadastreerde oppervlakte;Niet gekadastreerde oppervlakte;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;83.1973;0;0;0;
Akkerland;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;2024;706.1464;139.2106;845.357;26584;5466;32050;
Grasland;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;1385;660.354;118.7139;779.0679;24785;4958;29743;
Tuinen en parken;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;2638;167.7766;423.4111;591.1877;8738;28453;37191;
Boomgaarden;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;36;11.7224;0;11.7224;613;0;613;
Bossen;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;270;154.7958;72.7159;227.5117;703;864;1567;
Woeste gronden;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;2260;1051.0351;1062.8945;2113.9296;1727;1732;3459;
Recreatieterreinen;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;182;67.7248;78.2118;145.9366;3040;3578;6618;
Gekadastreerde wateren;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;87;81.3602;209.9204;291.2806;1136;2305;3441;
Gekadastreerde wegenis;Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;544;77.0601;70.6461;147.7062;1615;1349;2964;
Andere (onbebouwde percelen);Onbebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;4472;3016.1775;467.6709;3483.8484;16898312;1298679;18196991;
Appartementen;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;160440;695.0106;8.6706;703.6812;123176102;3085550;126261652;
Buildings;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;7469;187.5215;1.1812;188.7027;32512405;355266;32867671;
Huizen en hoeven;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;84535;1903.7908;6.7315;1910.5223;82190856;339546;82530402;
Bijgebouwen met inbegrip van serres;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;6121;98.6662;7.7489;106.4151;1723545;135827;1859372;
Ambachts- en industriegebouwen;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;1462;985.6356;28.3089;1013.9445;105300285;101034795;206335080;
Opslagruimten;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;1902;279.4964;47.1604;326.6568;25573995;6247081;31821076;
Kantoorgebouwen;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;694;73.0407;0.3781;73.4188;19442739;740693;20183432;
Gebouwen met handelsbestemming;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;8345;256.7852;6.4958;263.281;29468253;564346;30032599;
Openbare gebouwen;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;325;13.7378;91.5885;105.3263;2296283;6601045;8897328;
Gebouwen voor nutsvoorzieningen;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;737;101.5286;74.1325;175.6611;2995153;2479679;5474832;
Gebouwen voor sociale zorg en ziekenzorg;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;300;87.3783;32.562;119.9403;1087960;5156490;6244450;
Gebouwen voor onderwijs. onderzoek en cultuur;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;617;106.405;140.3648;246.7698;861485;7868315;8729800;
Gebouwen voor eredienst;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;253;13.3235;19.2838;32.6073;160302;1190803;1351105;
Gebouwen voor recreatie en sport;Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;614;136.7819;71.6085;208.3904;2047767;1232901;3280668;
Andere (bebouwde percelen);Bebouwde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;89;4.5177;55.5459;60.0636;218348;259339;477687;
Niet genormaliseerde percelen;Niet genormaliseerde percelen;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;2.115;52.4009;54.5159;4;104;108;
Niet gekadastreerde oppervlakte;Niet gekadastreerde oppervlakte;11002;Antwerpen;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;6223.9742;0;0;0;
Akkerland;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;1008;705.8042;2.3766;708.1808;33317;102;33419;
Grasland;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;761;462.2115;1.0304;463.2419;17965;48;18013;
Tuinen en parken;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;429;61.0964;4.2345;65.3309;3731;1095;4826;
Boomgaarden;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;126;42.9016;0.6223;43.5239;2809;31;2840;
Bossen;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;142;100.94;0;100.94;1188;0;1188;
Woeste gronden;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;16;0.5601;0.0708;0.6309;0;0;0;
Recreatieterreinen;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;6;8.1671;2.338;10.5051;452;133;585;
Gekadastreerde wateren;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;13;3.2522;0;3.2522;56;0;56;
Gekadastreerde wegenis;Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;96;9.2496;0.2351;9.4847;248;9;257;
Andere (onbebouwde percelen);Onbebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;342;37.7798;3.8431;41.6229;10185;4096;14281;
Appartementen;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;2660;16.9311;0;16.9311;1027627;2177;1029804;
Buildings;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;113;6.3147;0;6.3147;349346;96;349442;
Huizen en hoeven;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3671;281.0871;0.017;281.1041;3645712;6365;3652077;
Bijgebouwen met inbegrip van serres;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;371;134.9341;0.0029;134.937;316726;312;317038;
Ambachts- en industriegebouwen;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;42;9.1219;0;9.1219;460879;146732;607611;
Opslagruimten;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;48;10.348;0.6979;11.0459;96519;15445;111964;
Kantoorgebouwen;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;0.2078;0;0.2078;7192;0;7192;
Gebouwen met handelsbestemming;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;106;10.6909;0;10.6909;297366;2735;300101;
Openbare gebouwen;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;5;0.0481;2.0188;2.0669;2726;17244;19970;
Gebouwen voor nutsvoorzieningen;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;56;1.4278;5.4055;6.8333;13563;29003;42566;
Gebouwen voor sociale zorg en ziekenzorg;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;22;16.2194;1.3943;17.6137;22777;338955;361732;
Gebouwen voor onderwijs. onderzoek en cultuur;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;11;3.8086;1.668;5.4766;0;115809;115809;
Gebouwen voor eredienst;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;11;0.1728;0.6495;0.8223;8780;15620;24400;
Gebouwen voor recreatie en sport;Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;32;8.51;1.7699;10.2799;88454;12912;101366;
Andere (bebouwde percelen);Bebouwde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;6;0.3011;0;0.3011;10053;0;10053;
Niet genormaliseerde percelen;Niet genormaliseerde percelen;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;0;0;0;0;
Niet gekadastreerde oppervlakte;Niet gekadastreerde oppervlakte;11004;Boechout;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;105.0511;0;0;0;
Akkerland;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;348;82.3536;32.617;114.9706;2370;708;3078;
Grasland;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;38;14.2565;1.3219;15.5784;404;34;438;
Tuinen en parken;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;170;3.978;33.0707;37.0487;151;2045;2196;
Boomgaarden;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;0;0;0;0;
Bossen;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;1.681;1.1895;2.8705;5;4;9;
Woeste gronden;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;250;33.6544;61.5503;95.2047;48;86;134;
Recreatieterreinen;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;13;3.5825;4.7155;8.298;462;194;656;
Gekadastreerde wateren;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;7;0.6546;0.2899;0.9445;7;3;10;
Gekadastreerde wegenis;Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;53;2.3942;1.1388;3.533;19;11;30;
Andere (onbebouwde percelen);Onbebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;313;14.9526;10.9899;25.9425;3006;2595;5601;
Appartementen;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;4263;19.099;0.4167;19.5157;1789828;97020;1886848;
Buildings;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;170;5.4237;0;5.4237;757237;0;757237;
Huizen en hoeven;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;4709;112.3235;0.2826;112.6061;3150604;22131;3172735;
Bijgebouwen met inbegrip van serres;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;484;6.0058;0.6253;6.6311;71335;3317;74652;
Ambachts- en industriegebouwen;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;61;24.4093;4.9972;29.4065;444618;18115;462733;
Opslagruimten;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;88;73.1432;0.8482;73.9914;1288938;38604;1327542;
Kantoorgebouwen;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;15;1.1908;0;1.1908;100051;29592;129643;
Gebouwen met handelsbestemming;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;232;9.0905;0.0282;9.1187;557653;4105;561758;
Openbare gebouwen;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;10;0.6573;4.1741;4.8314;33292;108681;141973;
Gebouwen voor nutsvoorzieningen;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;69;1.774;1.3939;3.1679;40609;37082;77691;
Gebouwen voor sociale zorg en ziekenzorg;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;13;1.014;1.9637;2.9777;31282;82795;114077;
Gebouwen voor onderwijs. onderzoek en cultuur;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;27;4.1599;7.0633;11.2232;184;262384;262568;
Gebouwen voor eredienst;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;11;0.4813;0.6887;1.17;1447;34926;36373;
Gebouwen voor recreatie en sport;Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;34;3.5608;0.6732;4.234;42338;67974;110312;
Andere (bebouwde percelen);Bebouwde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;22;3.8645;2.0099;5.8744;1361;166;1527;
Niet genormaliseerde percelen;Niet genormaliseerde percelen;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;0;0;0;0;
Niet gekadastreerde oppervlakte;Niet gekadastreerde oppervlakte;11005;Boom;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;140.785;0;0;0;
Akkerland;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;174;70.5463;8.0531;78.5994;3142;261;3403;
Grasland;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;94;34.4635;0.4843;34.9478;1203;14;1217;
Tuinen en parken;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;128;14.3099;1.2385;15.5484;726;159;885;
Boomgaarden;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;4;0.8814;0;0.8814;40;0;40;
Bossen;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;7.9439;0;7.9439;0;70;70;
Woeste gronden;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;5;0.1488;0;0.1488;0;0;0;
Recreatieterreinen;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;3.5968;0;3.5968;186;0;186;
Gekadastreerde wateren;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;0.1068;0;0.1068;2;0;2;
Gekadastreerde wegenis;Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;31;1.8771;1.6708;3.5479;45;43;88;
Andere (onbebouwde percelen);Onbebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;214;12.1696;4.9539;17.1235;2511;41;2552;
Appartementen;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;2815;40.7742;0;40.7742;1405660;31291;1436951;
Buildings;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;357;10.8991;0;10.8991;976619;0;976619;
Huizen en hoeven;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;2102;92.851;0.0001;92.8511;2153305;3004;2156309;
Bijgebouwen met inbegrip van serres;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;229;17.7448;0.0048;17.7496;50819;289;51108;
Ambachts- en industriegebouwen;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;35;5.2354;0;5.2354;161396;821;162217;
Opslagruimten;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;39;3.0956;0.0843;3.1799;73971;6;73977;
Kantoorgebouwen;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;1;0.1054;0;0.1054;6031;0;6031;
Gebouwen met handelsbestemming;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;81;11.9683;0.1032;12.0715;460337;6710;467047;
Openbare gebouwen;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;0;0.4139;0.4139;0;44098;44098;
Gebouwen voor nutsvoorzieningen;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;25;0;0.6431;0.6431;55;14015;14070;
Gebouwen voor sociale zorg en ziekenzorg;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;5;1.197;0.0545;1.2515;12289;61615;73904;
Gebouwen voor onderwijs. onderzoek en cultuur;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;8;1.903;1.3708;3.2738;3026;53905;56931;
Gebouwen voor eredienst;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;6;0.5863;0.3543;0.9406;0;30853;30853;
Gebouwen voor recreatie en sport;Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;22;0.9487;0.0117;0.9604;13433;9164;22597;
Andere (bebouwde percelen);Bebouwde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;0;0;0;0;
Niet genormaliseerde percelen;Niet genormaliseerde percelen;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;0;0;0;0;
Niet gekadastreerde oppervlakte;Niet gekadastreerde oppervlakte;11007;Borsbeek;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;0;0;0;39.0715;0;0;0;
Akkerland;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;308;96.1321;15.5257;111.6578;2661;551;3212;
Grasland;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;474;234.2881;67.9374;302.2255;6621;1822;8443;
Tuinen en parken;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;891;130.9892;29.8678;160.857;6734;1722;8456;
Boomgaarden;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;8;2.6499;1.14;3.7899;99;42;141;
Bossen;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;1175;563.9217;298.672;862.5937;4030;1948;5978;
Woeste gronden;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;217;88.6504;37.7185;126.3689;127;58;185;
Recreatieterreinen;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;54;37.8288;9.7084;47.5372;1187;638;1825;
Gekadastreerde wateren;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;72;16.0528;20.2127;36.2655;191;230;421;
Gekadastreerde wegenis;Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;375;55.9569;37.6797;93.6366;681;482;1163;
Andere (onbebouwde percelen);Onbebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;1067;140.212;140.6761;280.8881;18191;2514;20705;
Appartementen;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;7349;75.4213;3.1523;78.5736;5266627;145447;5412074;
Buildings;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;310;13.8034;0;13.8034;1099461;0;1099461;
Huizen en hoeven;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;11239;1102.0162;1.7581;1103.7743;19964718;41131;20005849;
Bijgebouwen met inbegrip van serres;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;758;14.5585;0.0573;14.6158;101907;992;102899;
Ambachts- en industriegebouwen;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;50;5.5645;0.2685;5.833;225366;38319;263685;
Opslagruimten;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;70;12.3206;7.0581;19.3787;270409;64701;335110;
Kantoorgebouwen;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;7;0.6781;0;0.6781;29046;0;29046;
Gebouwen met handelsbestemming;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;379;27.3059;0.012;27.3179;1189766;6617;1196383;
Openbare gebouwen;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;37;0.4799;104.9894;105.4693;42232;602333;644565;
Gebouwen voor nutsvoorzieningen;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;110;3.6244;5.9872;9.6116;42770;248722;291492;
Gebouwen voor sociale zorg en ziekenzorg;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;34;18.1729;2.197;20.3699;62011;624256;686267;
Gebouwen voor onderwijs. onderzoek en cultuur;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;33;29.7582;19.2773;49.0355;1531;494081;495612;
Gebouwen voor eredienst;Bebouwde percelen;11008;Brasschaat;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;16;0.5463;1.62;2.1663;7502;33007;40509;
