Tijd (s);Positie (m);Snelheid (m/s);Versnelling (m/s2)
0.0;0.1681143841970949;0.007686006242799137;14.336285790035596
0.01;0.1681912442595229;0.1510488641431551;5.214485834367788
0.02;0.16970173290095444;0.20319372248683298;-47.82010216456717
0.03;0.17173367012582277;-0.2750072991588387;68.66602156286122
0.04;0.1689835971342344;0.41165291646977353;-107.62109434369309
0.05;0.17310012629893212;-0.6645580269671575;106.63825116418334
0.06;0.16645454602926055;0.401824484674676;-38.95928232514112
0.07;0.1704727908760073;0.012231661423264817;-43.849753959750714
0.08;0.17059510749023996;-0.42626587817424233;84.04077239059198
0.09;0.16633244870849753;0.41414184573167756;-105.41698137909256
0.1;0.1704738671658143;-0.640027968059248;98.61308867859769
0.11;0.16407358748522183;0.34610291872672894;40.56925691220542
0.12;0.16753461667248912;0.7517954878487831;-132.0108391447081
0.13;0.17505257155097695;-0.5683129035982976;77.68520103060783
0.14;0.16936944251499397;0.20853910670778075;-45.60539602522395
0.15;0.17145483358207178;-0.2475148535444588;49.070374029357986
0.16;0.1689796850466272;0.2431888867491211;-8.828882068307175
0.17;0.1714115739141184;0.15490006606604934;-40.42999001686448
0.18;0.1729605745747789;-0.24939983410259547;78.49673663523987
0.19;0.17046657623375294;0.5355675322498032;-128.89628972952178
0.2;0.17582225155625097;-0.7533953650454145;83.04545991189404
0.21;0.16828829790579683;0.077059234073526;-2.9850670000911017
0.22;0.1690588902465321;0.04720856407261498;-18.125801158384025
0.23;0.16953097588725824;-0.13404944751122527;21.45739881633968
0.24;0.168190481412146;0.08052454065217152;-6.099804452394109
0.25;0.1689957268186677;0.01952649612823043;22.868798153526935
0.26;0.16919099177995;0.2482144776634998;-70.28209731343132
0.27;0.171673136556585;-0.45460649547081344;42.31258495306284
0.28;0.16712707160187687;-0.03148064594018507;55.43213321384216
0.29;0.16681226514247502;0.5228406861982365;-35.461849565951994
0.3;0.17204067200445738;0.16822219053871657;-56.937521035567705
0.31;0.17372289390984455;-0.4011530198169605;31.119579170937882
0.32;0.16971136371167495;-0.08995722810758167;18.773502365695137
0.33;0.16881179143059913;0.09777779554936972;-41.20576307697327
0.34;0.16978956938609283;-0.31427983522036296;74.04016405964192
0.35000000000000003;0.1666467710338892;0.42612180537605626;-38.83269256266808
0.36;0.17090798908764976;0.037794879749375454;1.778992996430695
0.37;0.1712859378851435;0.055584809713682404;-29.876941666531486
0.38;0.17184178598228034;-0.24318460695163246;24.773494970692088
0.39;0.169409939912764;0.004550342755288428;38.5906109074835
0.4;0.1694554433403169;0.39045645183012345;-50.40799269009938
0.41000000000000003;0.17336000785861813;-0.11362347507087034;-58.45577570514626
0.42;0.17222377310790943;-0.698181232122333;120.70158822932275
0.43;0.1652419607866861;0.5088346501708946;-50.73616144706222
0.44;0.17033030728839504;0.0014730357002723515;-6.552032048364464
0.45;0.17034503764539777;-0.0640472847833723;25.628388406507828
0.46;0.16970456479756404;0.192236599281706;-17.193486212675747
0.47000000000000003;0.1716269307903811;0.02030173715494854;-25.270999756726585
0.48;0.1718299481619306;-0.23240826041231732;78.0261025077364
0.49;0.16950586555780742;0.5478527646650466;-104.12095085211375
0.5;0.17498439320445788;-0.49335674385609096;73.36571909918821
0.51;0.17005082576589697;0.24030044713579113;-29.702981353295907
0.52;0.17245383023725488;-0.05672936639716797;-17.71974292916506
0.53;0.1718865365732832;-0.23392679568881858;-9.639934924301485
0.54;0.16954726861639502;-0.33032614493183343;88.10553290601902
0.55;0.16624400716707669;0.5507291841283568;-67.40065791563276
0.56;0.17175129900836025;-0.12327739502797086;33.2924602574422
0.5700000000000001;0.17051852505808054;0.20964720754645116;-32.861716391225926
0.58;0.17261499713354506;-0.1189699563658081;38.755688482808026
0.59;0.17142529756988698;0.26858692846227217;-38.22887395546398
0.6;0.1741111668545097;-0.11370181109236766;-25.674648439954485
0.61;0.17297414874358602;-0.3704482954919125;68.49875083393714
0.62;0.1692696657886669;0.3145392128474589;-85.57927440030227
0.63;0.17241505791714148;-0.5412535311555638;127.07715181074164
0.64;0.16700252260558585;0.7295179869518525;-87.89684945109843
0.65;0.17429770247510437;-0.1494505075591318;-58.79556126883012
0.66;0.17280319739951305;-0.737406120247433;139.20351080945719
0.67;0.16542913619703872;0.654628987847139;-67.13653838235855
0.68;0.1719754260755101;-0.016736395976446605;-35.65049810997811
0.6900000000000001;0.17180806211574565;-0.37324137707622773;43.42348277587838
0.7000000000000001;0.16807564834498337;0.060993450682556016;-0.5532431471472199
0.71;0.16868558285180893;0.05546101921108382;-23.25680071613323
0.72;0.16924019304391977;-0.17710698795024848;81.00780262442653
0.73;0.16746912316441728;0.6329710382940168;-163.6432405858168
0.74;0.17379883354735745;-1.0034613675641513;191.85702237142638
0.75;0.16376421987171594;0.9151088561501125;-124.44778729397004
0.76;0.17291530843321706;-0.32936901678958797;39.56935738196998
0.77;0.16962161826532118;0.06632455703011186;-47.75732877373873
0.78;0.1702848638356223;-0.4112487307072754;106.4895384925818
0.79;0.16617237652854955;0.6536466542185426;-32.45207940793387
0.8;0.17270884307073497;0.32912586013920386;-47.047054525953534
0.81;0.176000101672127;-0.1413446851203315;-12.161619937249846
0.8200000000000001;0.1745866548209237;-0.26296088449282995;137.69250857703474
0.8300000000000001;0.1719570459759954;1.1139642012775175;-78.33131444706598
0.84;0.18309668798877057;0.3306510568068577;-6.867565050856783
0.85;0.18640319855683915;0.26197540629828986;103.10987540600584
0.86;0.18902295261982205;1.2930741603583484;-86.38204722639931
0.87;0.20195369422340553;0.4292536880943554;37.102644745803104
0.88;0.2062462311043491;0.8002801355523864;40.70792316536315
0.89;0.21424903245987295;1.2073593672060179;37.777739361811726
0.9;0.22632262613193313;1.5851367608241351;-40.05210482211836
