Kracht (N);Uitrekking (mm)
24232.067;5.253
24240.4;5.254
24251.2;5.255
24261.333;5.257
24268.6;5.258
24276.8;5.259
24286.4;5.26
24294.4;5.262
24305.133;5.263
24312.933;5.264
24323.6;5.265
24335.8;5.267
24343.6;5.268
24351.467;5.269
24361.2;5.27
24372.667;5.272
24380.8;5.273
24387.6;5.274
24397.867;5.275
24409.2;5.277
24419.867;5.278
24431.133;5.279
24439;5.28
24447.267;5.282
24458.4;5.283
24469.067;5.284
24477.067;5.285
24487.267;5.287
24494.733;5.288
24505.467;5.289
24514.267;5.29
24523.8;5.292
24531.733;5.293
24543;5.294
24554.467;5.295
24562.4;5.297
24569.933;5.298
24580.8;5.299
24591.333;5.301
24598.6;5.302
24609.267;5.303
24619.4;5.304
24627.4;5.306
24637.733;5.307
24645.6;5.308
24655.867;5.309
24663.067;5.311
24673.4;5.312
24684;5.313
24690.4;5.314
24697.533;5.316
24707.533;5.317
24718.667;5.318
24726.4;5.319
24734.133;5.321
24744.867;5.322
24756.2;5.323
24764;5.324
24772.867;5.326
24781.8;5.327
24792.6;5.328
24800.467;5.329
24810.067;5.33
24818.2;5.332
24829.6;5.333
24839.8;5.334
24847.333;5.335
24854.6;5.337
24865.933;5.338
24876.2;5.339
24884.133;5.34
24894.133;5.342
24904.4;5.343
24915;5.344
24923.067;5.346
24932.8;5.347
24943.933;5.348
24952;5.349
24959.933;5.35
24970.067;5.352
24981.267;5.353
24988.467;5.354
24996.2;5.355
25006.133;5.357
25016.8;5.358
25024.667;5.359
25032.6;5.36
25043.133;5.362
25054.067;5.363
25060.8;5.364
25068.333;5.365
25078.067;5.367
25089;5.368
25096.867;5.369
25107.067;5.37
25117.2;5.372
25124.667;5.373
25135.467;5.374
25146.133;5.375
25153.533;5.377
25161.467;5.378
25172.467;5.379
25184.2;5.38
25191.733;5.382
25199.4;5.383
25209.733;5.384
25220.8;5.385
25228.267;5.387
25234.2;5.388
25244.667;5.389
25254.867;5.39
25262.533;5.392
25269.4;5.393
25278.2;5.394
25289;5.395
25296.4;5.397
25305.533;5.398
25313;5.399
25324.133;5.4
25331.333;5.402
25339.4;5.403
25346.533;5.404
25357.267;5.405
25365.267;5.407
25374.4;5.408
25381.067;5.409
25391.6;5.41
25399.533;5.412
25409.067;5.413
25416.267;5.414
25426;5.415
25436.4;5.417
25444;5.418
25453.733;5.419
25460.133;5.42
25471.533;5.422
25483.133;5.423
25491.067;5.424
25498.533;5.425
25509.8;5.427
25519.867;5.428
25528.133;5.429
25535.933;5.43
25546.133;5.432
25556.867;5.433
25564.667;5.434
25574.533;5.435
25585.333;5.437
25593.8;5.438
25604.467;5.439
25614.333;5.44
25621.4;5.442
25629.467;5.443
25639.6;5.444
25650.067;5.445
25657.267;5.447
25664.733;5.448
25673.667;5.449
25683.4;5.45
25690.733;5.452
25699.8;5.453
25709.733;5.454
25717.333;5.455
25726.133;5.457
25733.267;5.458
25742.6;5.459
25749.6;5.46
25759.267;5.462
25769.4;5.463
25776.267;5.464
25783.067;5.465
25792.867;5.467
25801.733;5.468
25808.467;5.469
25815.333;5.47
25824.867;5.472
25834.733;5.473
25841.267;5.474
25848.267;5.476
25857.2;5.477
25867.267;5.478
25874.067;5.479
25879.933;5.48
25889.4;5.482
25900;5.483
25907.8;5.484
25916.8;5.485
25923.333;5.487
25934.133;5.488
25940.667;5.489
25950.867;5.49
25957.867;5.492
25968.6;5.493
25979.6;5.494
25986.8;5.495
25992.933;5.497
26002.467;5.498
26013.467;5.499
26020.867;5.5
26028.467;5.502
26038.533;5.503
26049;5.504
26057.267;5.505
26064.6;5.507
26074.533;5.508
26085.133;5.509
26093.867;5.51
26103.467;5.512
26110.933;5.513
26121.467;5.514
26129.733;5.515
26139.533;5.517
26148.733;5.518
26155.8;5.519
26165.733;5.52
26175.267;5.522
26181.667;5.523
26188.867;5.524
26198.6;5.525
26207.867;5.527
26214.067;5.528
26220.467;5.529
26231.933;5.53
26239.667;5.532
26249.6;5.533
26257.8;5.534
26264.467;5.535
26273;5.537
26279.533;5.538
26288.6;5.539
26296.933;5.54
26303;5.542
26310;5.543
26318.333;5.544
26326.4;5.545
26333.133;5.547
26340.533;5.548
26348.067;5.549
26354.933;5.55
26364.8;5.552
26371.8;5.553
26380.867;5.554
26387.6;5.555
26397.2;5.557
26404.333;5.558
26413.6;5.559
26420.4;5.56
26429.733;5.562
26439.2;5.563
26445.867;5.564
26454.6;5.565
26461.867;5.567
26468.267;5.568
26478.133;5.569
26488.733;5.57
26495.467;5.572
26502.467;5.573
26512.467;5.574
26522.533;5.575
26529.667;5.577
26536.733;5.578
26547.2;5.579
26557.533;5.58
26564.067;5.582
26571.4;5.583
26581.467;5.584
26591.2;5.585
26597.533;5.587
26604.4;5.588
26613.267;5.589
26623.067;5.59
26630.733;5.592
26641.4;5.593
26647.467;5.594
26656.933;5.595
26663.6;5.597
26672.533;5.598
26682;5.599
26689.733;5.6
26697.133;5.602
26706.8;5.603
26715.533;5.604
26721.867;5.605
26728.933;5.607
26737;5.608
26745;5.609
26751.333;5.61
26758.267;5.612
26767.4;5.613
26774.667;5.614
26780.467;5.615
26787.6;5.617
26796.467;5.618
26805.067;5.619
26812.6;5.62
26821.867;5.622
26828.4;5.623
26838.2;5.624
26847;5.625
26852.867;5.627
26861.867;5.628
26869.067;5.629
26878.133;5.63
26885.933;5.632
26892.333;5.633
26899.067;5.634
26907.8;5.635
26917;5.637
26924;5.638
26930.2;5.639
26939.667;5.64
26949.333;5.642
26956.6;5.643
26965.133;5.644
26973.733;5.645
26983.467;5.647
26990;5.648
26998.867;5.649
27007.667;5.65
27016.533;5.652
27023.6;5.653
27033;5.654
27040.867;5.655
27049.667;5.657
27056.667;5.658
27065.267;5.659
27072;5.66
27080.933;5.662
27090.533;5.663
27097;5.664
27104;5.665
27114.133;5.667
27123.067;5.668
27129.467;5.669
27136.467;5.67
27145.4;5.672
27154.933;5.673
27161.333;5.674
27167.933;5.675
27175.733;5.677
27184.267;5.678
27191.4;5.679
27197.267;5.68
27205.4;5.682
27214.467;5.683
27221.467;5.684
27230.4;5.685
27239.333;5.687
27245.467;5.688
27253.067;5.689
27261.867;5.69
27269.2;5.692
27275.267;5.693
27283.333;5.694
27291.333;5.695
27297.2;5.697
27303;5.698
27310.533;5.699
27318.467;5.7
27324.933;5.702
27332.933;5.703
27340.867;5.704
27346.333;5.705
27353.467;5.707
27362.267;5.708
27368.4;5.709
27374.6;5.71
27382.467;5.712
27390.133;5.713
27396.6;5.714
27402.8;5.715
27410.867;5.717
27419.267;5.718
27426;5.719
27433.867;5.72
27440.133;5.722
27449.467;5.723
27456.4;5.724
27464.533;5.725
27470.467;5.727
27479.4;5.728
27485.933;5.729
27494.6;5.73
27500.667;5.732
27508.8;5.733
27515.933;5.734
27525.4;5.735
27531.533;5.737
27541.2;5.738
27549.8;5.739
27556.533;5.74
27565.733;5.742
27572.067;5.743
27579.6;5.744
27588.333;5.745
27594.733;5.747
27600.667;5.748
27609.667;5.749
27618.2;5.75
27624.667;5.752
27630.6;5.753
27638.067;5.754
27646.667;5.755
27652.933;5.757
27658.2;5.758
27665.667;5.759
27674.2;5.76
27680.6;5.762
27688.8;5.763
27695.933;5.764
27702.067;5.765
27711.267;5.767
27719.4;5.768
27724.333;5.769
27729.933;5.77
27738.4;5.772
27745.067;5.773
27750.333;5.774
27756.333;5.775
27764.467;5.777
27772.333;5.778
27778.333;5.779
27783.6;5.78
27791.133;5.782
27799.6;5.783
27805.8;5.784
27813.467;5.785
27819.6;5.787
27828.133;5.788
27834.067;5.789
27840.533;5.79
27847.133;5.792
27855.467;5.793
27863.467;5.794
27869;5.795
27877.667;5.797
27883.733;5.798
27892.6;5.799
27901;5.8
27905.933;5.802
27912.8;5.803
27921.733;5.804
27929.6;5.805
27935.733;5.807
27941.8;5.808
27950.667;5.809
27958.4;5.81
27964;5.812
27969.933;5.813
27979.067;5.814
27987.533;5.815
27994.6;5.817
28001.733;5.818
28010.133;5.819
28016.133;5.82
28023.267;5.822
28032.2;5.823
28040.8;5.824
28049;5.825
28054;5.827
28062.067;5.828
28068.133;5.829
28075.8;5.83
28081.733;5.832
28088.4;5.833
28094.933;5.834
28103.133;5.835
28109.467;5.837
28115.2;5.838
28121.8;5.839
28129.733;5.84
28137;5.842
28142.533;5.843
28149.4;5.844
28155.867;5.845
28162.467;5.847
28170.467;5.848
28175.667;5.849
28180.733;5.85
28186.4;5.851
28194.867;5.853
28200.867;5.854
28206;5.855
28213.067;5.856
28220.2;5.858
28225.2;5.859
28230.4;5.86
28238.267;5.862
28247;5.863
28253.067;5.864
28260.533;5.865
28267.8;5.867
28273.067;5.868
28280.333;5.869
28287.8;5.87
28293.6;5.872
28299.267;5.873
28306.667;5.874
28314.533;5.875
28319;5.877
28324.467;5.878
28332;5.879
28339.733;5.88
28344.867;5.882
28350;5.883
28357.867;5.884
28366.267;5.885
28372.667;5.887
28377.533;5.888
28384.8;5.889
28393.067;5.89
28398.467;5.892
28403.6;5.893
28411.333;5.894
28419.4;5.895
28424.267;5.897
28429.533;5.898
28435.067;5.899
28442.133;5.9
28447.733;5.902
28453.067;5.903
28461.2;5.904
28468.933;5.905
28476.2;5.907
28482;5.908
28489;5.909
28494.067;5.91
28502.267;5.912
28509.667;5.913
28515.467;5.914
28520.4;5.915
28528.733;5.917
28536.133;5.918
28541;5.919
28545.6;5.92
28552.8;5.921
28560.8;5.923
28565.133;5.924
28571.867;5.925
28577.533;5.927
28585.667;5.928
28592.267;5.929
28599.133;5.93
28605.333;5.932
28610.267;5.933
28618.667;5.934
28624.333;5.935
28631.267;5.936
28636.667;5.938
28643.333;5.939
28650.933;5.94
28656.067;5.942
28661.733;5.943
28668.333;5.944
28676.067;5.945
28681;5.947
28688;5.948
28695.4;5.949
28701.333;5.95
28708.533;5.952
28716.2;5.953
28721.733;5.954
28727.6;5.955
28735.267;5.957
28742.6;5.958
28747.933;5.959
28753.267;5.96
28761.133;5.962
28767.667;5.963
28773;5.964
28777.667;5.965
28786.467;5.967
28792.867;5.968
28798.2;5.969
28805.267;5.97
28811.267;5.972
28818;5.973
28824.467;5.974
28828.6;5.975
28835;5.977
28842.8;5.978
28847.6;5.979
28851.733;5.98
28859.333;5.982
28866.6;5.983
28870.533;5.984
28874.667;5.985
28880.667;5.987
28887.067;5.988
28891.933;5.989
28896.933;5.99
28903.867;5.992
28909.2;5.993
28916.6;5.994
28923.267;5.995
28927.667;5.997
28932.733;5.998
28939.667;5.999
28946.2;6
28950.467;6.002
28957.133;6.003
28961.667;6.004
28966.467;6.005
28971.133;6.007
28977.267;6.008
28982.333;6.009
28989.8;6.01
28996.733;6.012
29001.2;6.013
29006.133;6.014
29013.8;6.015
29019.667;6.017
29024.733;6.018
29030.2;6.019
29037.133;6.02
29044.467;6.022
29048.733;6.023
29055.933;6.024
29061.333;6.025
29069;6.027
29074.4;6.028
29079.933;6.029
29084.667;6.03
29090.867;6.032
29097.933;6.033
29103.133;6.034
29108.067;6.035
29115.267;6.037
29122.467;6.038
29127.933;6.039
29133.267;6.04
29140.733;6.042
29148.4;6.043
29153.067;6.044
29157.467;6.045
29162.8;6.047
29170;6.048
29174.333;6.049
29178.2;6.05
29184.533;6.052
29190.867;6.053
29195.267;6.054
29199.467;6.055
29206.133;6.057
29212.733;6.058
29216.333;6.059
29222.267;6.06
29227.4;6.062
29231;6.063
29237.333;6.064
29244.333;6.065
29248.533;6.067
29253.467;6.068
29259.667;6.069
29265.267;6.07
29269.733;6.072
29274.333;6.073
29279.867;6.074
29286.333;6.075
29291.4;6.077
29297.533;6.078
29303.867;6.079
29308.733;6.08
29316;6.082
29321.6;6.083
29326.8;6.084
29332.333;6.085
29339;6.086
29346.533;6.088
29351;6.089
29357.067;6.09
29362.133;6.092
29368.2;6.093
29374.067;6.094
29381.267;6.095
29386.733;6.097
29393.8;6.098
29400.4;6.099
29404.333;6.1
29411.2;6.102
29416.067;6.103
29422.533;6.104
29429;6.105
29433.733;6.107
29438.6;6.108
29444.2;6.109
29449.733;6.11
29453.867;6.112
29458.8;6.113
29463.867;6.114
29469.867;6.115
29474.667;6.117
29480.867;6.118
29485.333;6.119
29491.133;6.12
29497.4;6.122
29501.267;6.123
29505.6;6.124
29511.067;6.125
29517.533;6.127
29522;6.128
29526.067;6.129
29531;6.13
29536.733;6.132
29541;6.133
29545.133;6.134
29551.133;6.135
29557.6;6.137
29562.667;6.138
29566.8;6.139
29571.8;6.14
29578.133;6.142
29582.6;6.143
29588.533;6.144
29592.867;6.145
29598.933;6.147
29602.933;6.148
29609.4;6.149
29613.467;6.15
29618.133;6.152
29623;6.153
29629.067;6.154
29634.267;6.155
29637.467;6.157
29643.6;6.158
29650.267;6.159
29655.133;6.16
29658.4;6.162
29664.733;6.163
29671.133;6.164
29675.533;6.165
29679.733;6.167
29683.733;6.168
29690.6;6.169
29694.333;6.17
29699.467;6.172
29703.267;6.173
29709.733;6.174
29715.133;6.175
29718.8;6.177
29722.8;6.178
29727.933;6.179
29732.467;6.18
29737.533;6.182
29741.2;6.183
29746.4;6.184
29752.867;6.185
29756.533;6.187
29760.067;6.188
29765.333;6.189
29771.133;6.19
29775.067;6.192
29780.533;6.193
29784.867;6.194
29788.933;6.195
29794.933;6.197
29800.6;6.198
29804.267;6.199
29807.933;6.2
29814.733;6.202
29821;6.203
29824.667;6.204
29828.667;6.205
29833.867;6.207
29838.533;6.208
29843;6.209
29848.733;6.21
29853.133;6.212
29858.667;6.213
29864.4;6.214
29869.733;6.215
29874.133;6.216
29880.467;6.218
29885.333;6.219
29890.067;6.22
29894.733;6.221
29901.067;6.223
29907.533;6.224
29910.933;6.225
29915.933;6.227
29921.6;6.228
29927.667;6.229
29931.867;6.23
29937.667;6.232
29941.067;6.233
29946.467;6.234
29951.8;6.235
29955.467;6.236
29960.133;6.238
29964;6.239
29969.933;6.24
29974.4;6.242
29980;6.243
29983;6.244
29989.733;6.245
29995.2;6.247
29998.733;6.248
30001.8;6.249
30007.4;6.25
30011.267;6.252
30016.6;6.253
30019.533;6.254
30024.467;6.255
30029.867;6.257
30032.933;6.258
30036.267;6.259
30040.333;6.26
30045.533;6.262
30050.467;6.263
30055.933;6.264
30059.733;6.265
30065.067;6.267
30069.533;6.268
30074.6;6.269
30079.4;6.27
30084.067;6.272
30088.267;6.273
30093.6;6.274
30098.067;6.275
30101.867;6.277
30105.533;6.278
30111.133;6.279
30115.067;6.28
30120;6.282
30124.8;6.283
30130.133;6.284
30132.867;6.285
30137.867;6.287
30142;6.288
30147.067;6.289
30150.733;6.29
30156.6;6.292
30161;6.293
30166.267;6.294
30170.8;6.295
30175.067;6.296
30181;6.298
30184.667;6.299
30188.533;6.3
30194.4;6.302
30199.733;6.303
30203.067;6.304
30206.333;6.305
30211.267;6.307
30216.267;6.308
30219.733;6.309
30222.733;6.31
30227.333;6.311
30232.933;6.313
30236.867;6.314
30240.667;6.315
30245.2;6.317
30249.667;6.318
30254.2;6.319
30259.667;6.32
30264;6.322
30267.867;6.323
30275;6.324
30280.6;6.325
30283.533;6.327
30287.667;6.328
30291.733;6.329
30296.067;6.33
30300.4;6.332
30303.6;6.333
30308.4;6.334
30313;6.335
30315.733;6.337
30318.6;6.338
30322.533;6.339
30328.067;6.34
30331.267;6.342
30336.133;6.343
30339.933;6.344
30345;6.345
30350.533;6.347
30353.533;6.348
30356.933;6.349
30360.4;6.35
30366.4;6.352
30370;6.353
30372.267;6.354
30377.267;6.355
30382.867;6.357
30386.2;6.358
30387.933;6.359
30392.4;6.36
30397.333;6.362
30399.933;6.363
30405.067;6.364
30408.667;6.365
30414.867;6.366
30417.667;6.368
30421.733;6.369
30425.467;6.37
30430.2;6.371
30434.333;6.373
30439.933;6.374
30444.933;6.375
30450.133;6.377
30454;6.378
30457.8;6.379
30462.533;6.38
30465.133;6.381
30468.533;6.383
30472.467;6.384
30477.533;6.385
30481.133;6.386
30484.467;6.388
30488.8;6.389
30494;6.39
30497.733;6.391
30502.067;6.393
30506.6;6.394
30509.867;6.395
30514.867;6.396
30520.2;6.398
30523.6;6.399
30527.067;6.4
30531.133;6.402
30535.067;6.403
30538.867;6.404
30542.667;6.405
30547.533;6.407
30551.4;6.408
30554.267;6.409
30557.067;6.41
30561.6;6.411
30565.867;6.413
30569.467;6.414
30572.8;6.415
30576.8;6.417
30582.133;6.418
30585.8;6.419
30590.8;6.42
30593.067;6.422
30597.6;6.423
30603.067;6.424
30605.267;6.425
30607.867;6.427
30612.533;6.428
30617.667;6.429
30621.333;6.43
30623.867;6.431
30628.733;6.433
30633.8;6.434
30637;6.435
30639.533;6.436
30643.467;6.438
30648.6;6.439
30651.067;6.44
30654.867;6.441
30660.333;6.443
30664.267;6.444
30666.933;6.445
30671.867;6.446
30676.067;6.448
30678.2;6.449
30681.267;6.45
30686.533;6.451
30691.067;6.453
30694.133;6.454
30698.533;6.455
30702.4;6.457
30706.6;6.458
30709.467;6.459
30713.8;6.46
30717.067;6.462
30721.133;6.463
30724.067;6.464
30727.533;6.465
30730.867;6.467
30735.067;6.468
30739.333;6.469
30742.333;6.47
30745.467;6.472
30750.4;6.473
30755.6;6.474
30759.6;6.475
30762.733;6.477
30766.733;6.478
30770.8;6.479
30774.4;6.48
30777.533;6.482
30782.733;6.483
30786.267;6.484
30790.6;6.485
30793.733;6.487
30795.667;6.488
30799.4;6.489
30803.533;6.49
30807.667;6.492
30810.2;6.493
30813.267;6.494
30816.933;6.495
30820.867;6.497
30824.6;6.498
30828.533;6.499
30831.467;6.5
30835.467;6.502
30838.2;6.503
30841.867;6.504
30844.8;6.505
30849.467;6.506
30852;6.508
30855.067;6.509
30857.667;6.51
30862.067;6.511
30867.2;6.513
30869.6;6.514
30873.333;6.515
30876.6;6.516
30880.733;6.518
30884.4;6.519
30889.067;6.52
30892.6;6.521
30896.867;6.523
30901.533;6.524
30904.8;6.525
30907.333;6.527
30911.933;6.528
30916.4;6.529
30920.267;6.53
30923.133;6.532
30926.667;6.533
30931.733;6.534
30934.8;6.535
30937.533;6.537
30941.4;6.538
30946;6.539
30948.733;6.54
30952.267;6.542
30956.333;6.543
30959.333;6.544
30964.133;6.545
30966.933;6.547
30969.4;6.548
30972.4;6.549
30976.8;6.55
30981.4;6.552
30983.467;6.553
30986.267;6.554
30989.6;6.555
30993.8;6.557
30996.8;6.558
30998.933;6.559
31002.933;6.56
31006.067;6.562
31008.8;6.563
31011.8;6.564
31014.867;6.565
31019.667;6.566
31023.2;6.568
31024.867;6.569
31027.467;6.57
31032.067;6.572
31036.333;6.573
31037.4;6.574
31041.267;6.575
31044.133;6.576
31048.4;6.578
31051;6.579
31053.4;6.58
31057.067;6.582
31061.533;6.583
31064.4;6.584
31067.733;6.585
31070.733;6.586
31074.533;6.588
31076.267;6.589
31081.133;6.59
31085.6;6.591
31088.2;6.593
31091;6.594
31094.6;6.595
31098.733;6.596
31101.6;6.598
31104.467;6.599
31107.267;6.6
31110.2;6.601
31113.133;6.603
31117.467;6.604
31120.933;6.605
31124.133;6.606
31128;6.608
31132;6.609
31134.933;6.61
31138.4;6.612
31141.333;6.613
31145;6.614
31150.2;6.615
31153.267;6.617
31156.533;6.618
31160.2;6.619
31163.133;6.62
31166.667;6.622
31171;6.623
31174.067;6.624
31175.6;6.625
31178;6.626
31182.4;6.628
31185.267;6.629
31187.867;6.63
31191.6;6.631
31196.133;6.633
31198.333;6.634
31202.4;6.635
31205.933;6.637
31209.467;6.638
31212.333;6.639
31215.867;6.64
31219.467;6.642
31222.8;6.643
31225.667;6.644
31230.133;6.645
31234.2;6.646
31236.8;6.648
31240.667;6.649
31244.467;6.65
31246.4;6.651
31249.2;6.653
31252.467;6.654
31256.867;6.655
31258.733;6.656
31262;6.658
31265;6.659
31269.6;6.66
31271.467;6.662
31273.467;6.663
31277.133;6.664
31281.4;6.665
31282.933;6.667
31286.067;6.668
31291.733;6.669
31295.667;6.67
31297.8;6.671
31302;6.673
31305.667;6.674
31307.333;6.675
31310.4;6.676
31312.867;6.678
31315.733;6.679
31320.067;6.68
31323.4;6.681
31326;6.683
31328.6;6.684
31331.867;6.685
31336.733;6.687
31339.933;6.688
31342.867;6.689
31345.267;6.69
31348.333;6.691
31350.6;6.693
31353.667;6.694
31357.667;6.695
31361.467;6.697
31365.267;6.698
31367.8;6.699
31371.667;6.7
31374.6;6.702
31377.267;6.703
31380.533;6.704
31383;6.705
31385.933;6.707
31388.4;6.708
31391.733;6.709
31395.667;6.71
31398.4;6.712
31401.933;6.713
31404.2;6.714
31408.067;6.715
31411.8;6.717
31414.6;6.718
31416.533;6.719
31418.533;6.72
31421.267;6.721
31423.733;6.723
31426.4;6.724
31430.533;6.725
31435.6;6.727
31439.2;6.728
31441.467;6.729
31443.733;6.73
31446.667;6.731
31448.933;6.733
31451.6;6.734
31454.467;6.735
31457.2;6.736
31459.267;6.738
31462.6;6.739
31467.267;6.74
31470;6.741
31472.733;6.743
31475.333;6.744
31480.133;6.745
31482.867;6.746
31485.6;6.748
31490.4;6.749
31492.467;6.75
31494.133;6.751
31497;6.753
31501.667;6.754
31506.333;6.755
31508.8;6.756
31511.6;6.758
31515.133;6.759
31518.8;6.76
31521.2;6.761
31525.2;6.763
31527.533;6.764
31529.933;6.765
31534.933;6.766
31538.8;6.768
31540.867;6.769
31544.6;6.77
31547.8;6.771
31550.867;6.773
31554.2;6.774
31555.733;6.775
31558.533;6.777
31562.4;6.778
31565.133;6.779
31566.533;6.78
31570.4;6.781
31572.2;6.783
31574.2;6.784
31577.4;6.785
31580.467;6.787
31582.867;6.788
31584.4;6.789
31587.067;6.79
31589.733;6.792
31592.133;6.793
31594.867;6.794
31597.733;6.795
31600.4;6.796
31602.4;6.798
31605.933;6.799
31608.8;6.8
31611.2;6.801
31613.4;6.803
31616.6;6.804
31619.2;6.805
31621.8;6.806
31625.4;6.808
31627.667;6.809
31630.733;6.81
31634.8;6.811
31637.333;6.813
31639.733;6.814
31642.8;6.815
31646.467;6.816
31650.733;6.818
31653;6.819
31654.8;6.82
31658.333;6.821
31662.467;6.823
31665.333;6.824
31667.667;6.825
31670.733;6.826
31674.533;6.828
31676.667;6.829
31678.8;6.83
31681.4;6.831
31685.333;6.833
31687.4;6.834
31690.133;6.835
31692.067;6.836
31696.067;6.838
31698.733;6.839
31702.267;6.84
31706.133;6.841
31707.4;6.843
31710.6;6.844
31714.267;6.845
31716.2;6.846
31718.8;6.848
31721.933;6.849
31724.667;6.85
31727.267;6.851
31729.6;6.853
31732.2;6.854
31735;6.855
31738.133;6.856
31741.267;6.858
31742.667;6.859
31745;6.86
31748.8;6.861
31751.867;6.863
31754.4;6.864
31756.8;6.865
31760.4;6.866
31763.667;6.868
31766.267;6.869
31768.467;6.87
31772.133;6.871
31775.133;6.873
31777.2;6.874
31779.667;6.875
31783.467;6.876
31786.733;6.878
31789.133;6.879
31793.067;6.88
31796.667;6.881
31799.067;6.883
31800.467;6.884
31804.133;6.885
31808.267;6.886
31810.867;6.888
31813.867;6.889
31816.267;6.89
31820.467;6.891
31823.2;6.893
31825.333;6.894
31827.467;6.895
31830;6.896
31833.067;6.898
31835;6.899
31836.867;6.9
31840;6.902
31842.733;6.903
31845.333;6.904
31848;6.905
31850.6;6.906
31853.2;6.908
31856.067;6.909
31859.267;6.91
31861.6;6.911
31864;6.913
31866.4;6.914
31868.133;6.915
31869.333;6.916
31872.533;6.918
31875.733;6.919
31878.733;6.92
31879.8;6.921
31881.267;6.923
31884.2;6.924
31887.467;6.925
31889.533;6.926
31892.4;6.928
31894.933;6.929
31898.667;6.93
31901.933;6.931
31904.4;6.933
31906.267;6.934
31909.067;6.935
31911.6;6.936
31915.2;6.938
31918.8;6.939
31921.267;6.94
31924.467;6.941
31927.133;6.943
31930;6.944
31931.933;6.945
31934;6.946
31937.2;6.948
31940.867;6.949
31944.067;6.95
31947.267;6.951
31949.333;6.953
31952.667;6.954
31954.6;6.955
31957.867;6.956
31961.133;6.958
31963.733;6.959
31966.4;6.96
31969.733;6.961
31970.667;6.963
31973.8;6.964
31976.2;6.965
31979.4;6.966
31980.867;6.968
31984.667;6.969
31987.8;6.97
31991.2;6.971
31993.8;6.973
31995.8;6.974
31998.8;6.975
32000.6;6.976
32004.333;6.978
32007.933;6.979
32010.067;6.98
32012.6;6.981
32016.267;6.983
32019.867;6.984
32021.533;6.985
32024.2;6.987
32025.6;6.988
32028.467;6.989
32032.2;6.99
32035;6.992
32037.333;6.993
32039.067;6.994
32042.533;6.995
32044.933;6.996
32047.2;6.998
32048.467;6.999
32052.067;7
32055.333;7.001
32057.333;7.003
32059.6;7.004
32061.867;7.005
32064;7.006
32066.733;7.008
32069.2;7.009
32072.667;7.01
32075.267;7.011
32076.2;7.013
32079.2;7.014
32082.333;7.015
32085.333;7.016
32086.533;7.018
32088.067;7.019
32091.733;7.02
32095.933;7.021
32100;7.023
32100.733;7.024
32103.4;7.025
32107.333;7.026
32110.933;7.028
32112.333;7.029
32115.267;7.03
32119.133;7.031
32122.867;7.033
32124.867;7.034
32127.6;7.035
32130.8;7.036
32134.133;7.038
32136.267;7.039
32138.4;7.04
32141.933;7.041
32144.6;7.043
32147.467;7.044
32150.467;7.045
32151.8;7.046
32154.933;7.048
32157.467;7.049
32159.733;7.05
32161.133;7.051
32164.467;7.053
32167.667;7.054
32170.2;7.055
32171.733;7.056
32173.733;7.058
32176.733;7.059
32179.533;7.06
32180.333;7.061
32181.933;7.063
32185.2;7.064
32188;7.065
32189.533;7.066
32190.8;7.068
32192.667;7.069
32194.933;7.07
32197.2;7.072
32198.933;7.073
32201.067;7.074
32203.667;7.075
32207.933;7.077
32210.8;7.078
32212.133;7.079
32213.533;7.08
32216.133;7.082
32218.533;7.083
32220.933;7.084
32222.733;7.085
32226.667;7.086
32230.2;7.088
32231.267;7.089
32232.4;7.09
32235.933;7.091
32239.533;7.093
32241.4;7.094
32243.733;7.095
32248.067;7.096
32251.333;7.098
32251.733;7.099
32254.067;7.1
32257.667;7.101
32262.133;7.103
32264.4;7.104
32266.733;7.105
32269.133;7.106
32272.8;7.108
32275.533;7.109
32277.133;7.11
32279.733;7.111
32281.333;7.113
32285.2;7.114
32288.667;7.115
32290.933;7.116
32293.133;7.118
32297.067;7.119
32299.4;7.12
32300.333;7.121
32303;7.123
32307.867;7.124
32311.067;7.125
32312.933;7.126
32314.8;7.128
32317.4;7.129
32319.6;7.13
32321.733;7.131
32325.733;7.133
32328.4;7.134
32330.4;7.135
32332.133;7.136
32334.467;7.138
32337.133;7.139
32339.733;7.14
32343.467;7.141
32345.867;7.143
32348.867;7.144
32351.133;7.145
32353.333;7.146
32356.533;7.148
32357.733;7.149
32359.667;7.15
32361.4;7.152
32364.6;7.153
32366.733;7.154
32369.067;7.155
32371.4;7.157
32374.667;7.158
32376.867;7.159
32379.6;7.16
32382.667;7.161
32384.733;7.163
32387.933;7.164
32392.267;7.165
32394.4;7.166
32395.667;7.168
32399.067;7.169
32401.933;7.17
32405.267;7.171
32408.267;7.173
32410;7.174
32411.667;7.175
32414.333;7.176
32417.133;7.178
32418.267;7.179
32421.467;7.18
32424.4;7.181
32427.533;7.183
32430.6;7.184
32434.533;7.185
32437.6;7.186
32440.733;7.188
32442.333;7.189
32444.8;7.19
32446.933;7.191
32449.933;7.193
32452.133;7.194
32453.867;7.195
32456.267;7.196
32458.6;7.198
32460.733;7.199
32461.733;7.2
32464.533;7.202
32466.4;7.203
32468.067;7.204
32470.8;7.205
32472.933;7.206
32474.2;7.208
32476.8;7.209
32479.467;7.21
32481.667;7.211
32483.4;7.213
32485.933;7.214
32487.133;7.215
32490.333;7.216
32492.6;7.218
32494.4;7.219
32497.2;7.22
32498.067;7.221
32500.533;7.223
32502.867;7.224
